row_index,question_id,stem,option_A,option_B,option_C,option_D,claude_raw,claude_choice,claude_abstain_code,claude_confidence,claude_rationale
11,e5a27fedf79c3a2209069f7839800ea8c7a2a1e7707c5cf4ff377bfaca63d8f2,"Kwesi Simon Senyo is a 25 year old man whose presented with the father to you at the clinic. His father reports that Kwesi has been a stubborn child since childhood. He would skip school , bully other children , steal from home and sometimes insulted his teachers. Currently he has not been able to stay in school, he has been caught for stealing and scamming people on several occasions. He mostly lies to get money from the parents. He thinks mostly about himself and wouldn’t mind hurting other people to benefit himself. He lacks remorse when he does bad things and is confronted. 
What is the most likely diagnosis for Kwesi’s condition?",Narcissistic personality disorder,Histrionic personality disorder,Avoidant personality disorder,Antisocial personality disorder,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.98,
  ""rationale"": ""History of conduct disorder in childhood (truancy, bullying, stealing) continuing into adulthood with deceitfulness, lack of remorse, and disregard for others' rights is classic for antisocial personality disorder.""
}",D,,0.98,"History of conduct disorder in childhood (truancy, bullying, stealing) continuing into adulthood with deceitfulness, lack of remorse, and disregard for others' rights is classic for antisocial personality disorder."
12,6263a5adb39b83da19092c21e63885cd03f5003aebb1ace6bd465d4440186fae,"A 35-year-old lady presented with a breast lump, 2 cm X 2 cm, next to the nipple. There were three mobile axillary nodes. There was no skin involvement and not fixed to the pectoral muscle. Trucut biopsy of the lump showed duct carcinoma. Sentinel node biopsy was negative. There was no evidence of distant metastases. Given this information ONLY, the best option of her management is:","Do modified radical mastectomy, chemotherapy and radiotherapy","Do simple mastectomy, axillary lymph node dissection, chemotherapy and radiotherapy","Do simple mastectomy, chemotherapy, and radiotherapy.","Do modified radical mastectomy, chemotherapy, radiotherapy, tamoxifen, and Herceptin","{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""With a negative sentinel node biopsy, axillary dissection is not indicated, ruling out MRM (which includes axillary dissection) and option B. Although breast-conserving surgery would be ideal, among the given options, simple mastectomy with chemotherapy and radiotherapy is the most appropriate.""
}",C,,0.6,"With a negative sentinel node biopsy, axillary dissection is not indicated, ruling out MRM (which includes axillary dissection) and option B. Although breast-conserving surgery would be ideal, among the given options, simple mastectomy with chemotherapy and radiotherapy is the most appropriate."
13,ad5870ceb62ff64b5859fa3e63e156ac1f26b5ec1a99b316211bcee05f3b96cc,A 65-year-old man has had pain in the left hip joint for a few years that has begun to subside but he then has noticed a reduction in the joint range of motion in the same hip. The most useful single thing he should do is?,Engage in sessions of physiotherapy to loosen the joint,Test for rheumatoid factor,Start a two-week trial of anti-inflammatory drugs to further reduce the pain,Consider hip replacement surgery,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""In a 65-year-old with chronic hip pain and progressive loss of range of motion (consistent with advanced osteoarthritis), definitive management is total hip replacement, which addresses both pain and function. Physiotherapy and NSAIDs are adjuncts but do not reverse joint destruction.""
}",D,,0.6,"In a 65-year-old with chronic hip pain and progressive loss of range of motion (consistent with advanced osteoarthritis), definitive management is total hip replacement, which addresses both pain and function. Physiotherapy and NSAIDs are adjuncts but do not reverse joint destruction."
14,623fbab888a119358819c7e5113d64fc8541b9c8bcb1008947ab7cb97e89fee5,"A 68-year-old man is admitted to hospital with pneumonia and hyponatraemia with a sodium of 116 mmol/l. He was treated with antibiotics and rapid infusions of 3% hypertonic soline. Despite initial improvement, he started having seizures and went into a coma the next day. What is the possible cause of his deterioration?",Central pontine myelinosis,Acute stroke,Syndrome of inappropriate antidiuretic hormone secretion,Meningitis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.92,
  ""rationale"": ""Rapid correction of chronic severe hyponatremia with hypertonic saline can cause osmotic demyelination syndrome (central pontine myelinolysis), typically presenting with neurological deterioration, seizures, and coma a day or two after correction.""
}",A,null,0.92,"Rapid correction of chronic severe hyponatremia with hypertonic saline can cause osmotic demyelination syndrome (central pontine myelinolysis), typically presenting with neurological deterioration, seizures, and coma a day or two after correction."
15,bca0f3ab7477c7fdc04f7ade627ab236c06db5b139750c7411cb93f4aaa749ee,A 24 year old man who has suffered from recurrent shoulder dislocation is found to have an early diastolic murmur best heard at left third intercostal space. He is tall and thin with a long arm span. What is the likely cause of the murmur?,Aortic stenosis,Pulmonary stenosis,Mitral stenosis,Tricuspid regurgitation,"{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.95,
  ""rationale"": ""This patient has Marfan syndrome features with an early diastolic murmur at the left sternal border, which indicates aortic regurgitation due to aortic root dilation. None of the listed options correspond to aortic regurgitation.""
}",,NO_VALID_OPTION,0.95,"This patient has Marfan syndrome features with an early diastolic murmur at the left sternal border, which indicates aortic regurgitation due to aortic root dilation. None of the listed options correspond to aortic regurgitation."
16,7cfc58c7adeeca17732e6dbb3b423dbf0a581a5008d3efda214cc6b8168d0c76,"A 28-year-old male was injured in a motorcycle accident in which he was not wearing a helmet. On admission to the emergency room he was in severe respiratory distress and hypotensive (blood pressure 80/40 mm. Hg), and appeared cyanotic. He was bleeding profusely from the nose and had an obviously open femur fracture with exposed bone. Breath sounds were decreased on the right side of the chest. The initial management priority should be:",Control of hemorrhage with anterior and posterior nasal packing.,Tube thoracostomy in the right hemithorax,Endotracheal intubation with in-line cervical traction.,Obtain intravenous access and begin emergency type O blood transfusions.,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.9,
  ""rationale"": ""ATLS priorities are airway first. This cyanotic patient in respiratory distress with potential cervical spine injury (unhelmeted motorcycle crash) requires immediate endotracheal intubation with in-line cervical stabilization before addressing breathing, circulation, or other issues.""
}",C,,0.9,"ATLS priorities are airway first. This cyanotic patient in respiratory distress with potential cervical spine injury (unhelmeted motorcycle crash) requires immediate endotracheal intubation with in-line cervical stabilization before addressing breathing, circulation, or other issues."
17,bc86888c0d7272af42a447835e2152de73ef672bde37bd33aaba65f18ee9fe1f,"A 50-year-old drug abuser presents with fever and weight loss. Exam shows hypertension, nodular skin rash, and peripheral neuropathy. ESR is 100 mm/L , and RBC casts are seen on urinalysis. What is the likely diagnosis?",Polymyalgia rheumatica,Reiter’s syndrome,Ankylosing spondylitis,Drug-induced lupus erythematosus,"{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical picture (drug abuser, hypertension, nodular rash, mononeuritis multiplex, elevated ESR, renal involvement) is classic for polyarteritis nodosa, often associated with hepatitis B. None of the listed options match this diagnosis.""
}",,NO_VALID_OPTION,0.9,"The clinical picture (drug abuser, hypertension, nodular rash, mononeuritis multiplex, elevated ESR, renal involvement) is classic for polyarteritis nodosa, often associated with hepatitis B. None of the listed options match this diagnosis."
18,a08c41234ec67f3778fbc05d789adffc5a16b36b5a2c10fd68071c2f66627009,A 2-year old child presents with two-day history of passage of blood-streaked loose stool. There was no associated vomiting but there was history of excessive crying prior to bowel opening. The most likely aetiology is:,Enterohaemorrhagic Escherichia coli.,Entamoeba coli,Shigella flexneri,Shigella dysenteriae,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.55,
  ""rationale"": ""Bloody diarrhea with tenesmus (excessive crying before bowel opening) in a 2-year-old is most commonly caused by Shigella, and S. flexneri is the most common species causing endemic shigellosis in children in developing regions, whereas S. dysenteriae typically causes epidemics. Entamoeba coli is non-pathogenic, and EHEC usually presents without fever but with more severe hemorrhagic colitis.""
}",C,null,0.55,"Bloody diarrhea with tenesmus (excessive crying before bowel opening) in a 2-year-old is most commonly caused by Shigella, and S. flexneri is the most common species causing endemic shigellosis in children in developing regions, whereas S. dysenteriae typically causes epidemics. Entamoeba coli is non-pathogenic, and EHEC usually presents without fever but with more severe hemorrhagic colitis."
19,679aca552d8a44e0afd303a2bfb8145f7a442018bc3f195c6ebf6ab6720cb314,A previously healthy 8-week old infant presents with four-week history of vomiting soon after each episode of breastfeeding. Abdominal examination reveals a non-tender epigastric mass. Which of the following dyselectrolytaemia is typical?,Hyperglycaemia,Hypoglycaemia,Hypokalaemia,Hypernatraemia,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.95,
  ""rationale"": ""Pyloric stenosis causes hypochloremic, hypokalemic metabolic alkalosis due to loss of gastric HCl and potassium in vomitus.""
}",C,,0.95,"Pyloric stenosis causes hypochloremic, hypokalemic metabolic alkalosis due to loss of gastric HCl and potassium in vomitus."
20,d183959faf38afcfcb291cbf683cf66e160ab9539bc9e4e0ddfa23f272a10492,"A 29-year-old woman presents to her GP with small lumps on her vulva. 
Examination reveals warty lesions. Subsequently she is referred to the vulval clinic. The biopsy of the lesions reveals benign genital warts. The following drugs can be used in the treatment of her condition except which one of the following?",Trichloracetic acid,Podophyllin,Podophyllotoxin,Dactinomycin,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.97,
  ""rationale"": ""Genital warts are treated with podophyllin, podophyllotoxin, trichloroacetic acid, imiquimod, and cryotherapy. Dactinomycin is a chemotherapy agent used for malignancies, not genital warts.""
}",D,,0.97,"Genital warts are treated with podophyllin, podophyllotoxin, trichloroacetic acid, imiquimod, and cryotherapy. Dactinomycin is a chemotherapy agent used for malignancies, not genital warts."
21,d2fcdf819ff30c5ea685a1bf6a1b9b4b1fe1455f20bb2147f387cc8c98daf92b,A 26-year-old woman presents for follow-up of her multiple sclerosis. She has had two separate episodes of optic neuritis and has noticed stutteringly progressive weakness in her lower extremities. She has a mild neurogenic bladder. MRI scanning reveals several plaques in the periventricular white matter and several other plaques in the brainstem. Which of the following best summarizes the role of interferon β for this disease?,It improves patients’ symptoms and has no significant side effects,It can cure one-third of patients,It reduces relapse rate by 50%,It improves survival,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.9,
  ""rationale"": ""Interferon β in relapsing-remitting MS reduces the annual relapse rate by approximately one-third and reduces severe relapses by about 50%; it does not cure MS or clearly improve survival, and it has notable side effects (flu-like symptoms).""
}",C,,0.9,"Interferon β in relapsing-remitting MS reduces the annual relapse rate by approximately one-third and reduces severe relapses by about 50%; it does not cure MS or clearly improve survival, and it has notable side effects (flu-like symptoms)."
22,4f5d98c72477b02a43fad895ba14baa5152fced1589da4a2c3c2f8453ce301bc,A 45-year-old woman presents to the clinic on account of easy fatigue and generalized pruritus for the past 5 months. She has a number of spider naevi over her chest and hepatomegaly 2 cm below subcostal margin. Liver function tests done were abnormal. Anti-mitochondrial antibody test is positive. What is the most likely diagnosis?,Alpha-1 antitrypsin deficiency,Wilson’s disease,Primary sclerosing cholangitis,Autoimmune hepatitis,"{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.95,
  ""rationale"": ""The clinical picture (middle-aged woman with pruritus, fatigue, hepatomegaly, and positive anti-mitochondrial antibody) is classic for primary biliary cholangitis (PBC), which is not among the options listed.""
}",,NO_VALID_OPTION,0.95,"The clinical picture (middle-aged woman with pruritus, fatigue, hepatomegaly, and positive anti-mitochondrial antibody) is classic for primary biliary cholangitis (PBC), which is not among the options listed."
23,11b9d730349397642247b17fbc68510c89752e0cf1aef01f66f62e0ef3f5584e,A patient with psychotic disorder is convinced that she has caused a recent earthquake because she was bored and wishing for something exciting to occur. Which of the following symptoms MOST CLOSELY describes this symptom?,Echolalia,Obsession,Thought broadcasting,Nihilism,"{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""This describes an idea of reference or delusion of control/grandiose delusion with magical thinking (believing her thoughts caused an external event). None of the listed options—echolalia, obsession, thought broadcasting, or nihilism—accurately describe this phenomenon.""
}",,NO_VALID_OPTION,0.9,"This describes an idea of reference or delusion of control/grandiose delusion with magical thinking (believing her thoughts caused an external event). None of the listed options—echolalia, obsession, thought broadcasting, or nihilism—accurately describe this phenomenon."
24,b2dce8406017590d925e3db8a7c60ceaf4a8acaa13ddfe24a48c48d9ca887d8e,A 20-year old male presents in your emergency room with multiple facial lacerations after a motorvehicle collision. There is one particularly deep laceration through the tragus and 4 cm into the parotid gland. You remember to check the facial nerve function and find no motion around the eye or over the forehead. The nasal ala flares on deep breathing and the corner of the mouth appears normal on smiling. What area of the facial nerve is most likely injured?,Main trunk,Inferior division,Superior division,Temporal branch,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.85,
  ""rationale"": ""Loss of function of the forehead (temporal) and eye (zygomatic) branches with preserved buccal (nasal ala) and marginal mandibular (mouth) function indicates injury to the superior (temporozygomatic) division of the facial nerve. Main trunk injury would paralyze the entire face.""
}",C,null,0.85,Loss of function of the forehead (temporal) and eye (zygomatic) branches with preserved buccal (nasal ala) and marginal mandibular (mouth) function indicates injury to the superior (temporozygomatic) division of the facial nerve. Main trunk injury would paralyze the entire face.
25,1fd10b9d8fc2562c7b172b3063466dc13ee6431af1c20056a37a076b22fe389b,"A 3-year-old male weighing 16 kg (35.3 pounds) presents with second and third-degree burns of his anterior trunk, upper back, and right arm, after pulling a large pot of boiling water off the stove onto himself. This is a 23% total body surface area burn. Fluid resuscitation is started based on the Parkland formula. When reassessing this patient 3 hours after starting fluid resuscitation, what would be an appropriate urine output?",0.25 mL/kg/hour,2.0 mL/kg/hour,1.0 ml/kg/hour,3.5 ml/kg/hour,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.85,
  ""rationale"": ""For pediatric burn patients, adequate fluid resuscitation is targeted to a urine output of 1.0 mL/kg/hour (vs 0.5 mL/kg/hour in adults).""
}",C,,0.85,"For pediatric burn patients, adequate fluid resuscitation is targeted to a urine output of 1.0 mL/kg/hour (vs 0.5 mL/kg/hour in adults)."
26,89dc65251515e6a66ac71036fce32a8ba2e298e2710b7928990697e7125a9a95,A 32-year-old woman is seen at the Endocrine Clinic on account of recurring headaches and episodes of diaphoresis. She was diagnosed of hypertension 6 months which have worsened over the last few months despite starting lisinopril 10 mg daily. Blood pressure checked is 160/94 mmHg. It is also noticed that she had a large tongue and prominent lower jaw. Her body mass index is 24 kg/m2. What is the likely cause of the hypertension?,Cushing disease,Primary hypertension,Acromegaly,Phaechromocytoma,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.75,
  ""rationale"": ""The large tongue (macroglossia) and prominent lower jaw (prognathism) are classic features of acromegaly, which causes secondary hypertension. While headaches and diaphoresis could suggest pheochromocytoma, the acromegalic facial features point to acromegaly as the underlying cause (headaches from pituitary adenoma, diaphoresis from GH excess).""
}",C,,0.75,"The large tongue (macroglossia) and prominent lower jaw (prognathism) are classic features of acromegaly, which causes secondary hypertension. While headaches and diaphoresis could suggest pheochromocytoma, the acromegalic facial features point to acromegaly as the underlying cause (headaches from pituitary adenoma, diaphoresis from GH excess)."
27,e8b57e5faf23bb2c13c0092ce69e3f60f4015c76f49668e0b7664c68b7af093b,"A 1-year-old child presents with crying continuously and drawing his legs up. The mother reports associated episodes of passing bloody mucus per rectum. A long, thin mass is palpable in the right upper quadrant of the abdomen. No peritoneal signs are present. Intussusception is suspected. Which of the following is the most appropriate next step?",Administration of IV fluids and observation,Diagnostic laparoscopy with laparoscopic reduction,Exploratory laparotomy with bowel resection,Decompressive colonoscopy with placement of a rectal tube,"{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The standard next step for stable intussusception without peritonitis is a nonoperative reduction via air (pneumatic) or contrast enema, which is not listed. Surgery is reserved for failed enema reduction or peritonitis, and none of the listed options represent the correct first-line management.""
}",,NO_VALID_OPTION,0.9,"The standard next step for stable intussusception without peritonitis is a nonoperative reduction via air (pneumatic) or contrast enema, which is not listed. Surgery is reserved for failed enema reduction or peritonitis, and none of the listed options represent the correct first-line management."
28,dada4d61b14696cd165474a39fdec770b6dd8da0e1f32d1d48ccf53a010878bf,A 38-year-old male presents with hypertension and worsening renal function. An ultrasound done showed multiple cysts in both kidneys as well as cysts in the liver. A diagnosis of polycystic kidney disease is made. Which of the following is the most important association with the diagnosis?,Infertility,Colon cancer,Type 1 diabetes,Cerebral aneurysms,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.98,
  ""rationale"": ""ADPKD is classically associated with intracranial (berry) aneurysms, which can cause fatal subarachnoid hemorrhage and is the most important extrarenal association.""
}",D,,0.98,"ADPKD is classically associated with intracranial (berry) aneurysms, which can cause fatal subarachnoid hemorrhage and is the most important extrarenal association."
29,5558fe2bfe788a2020236bd74e4b142d43ff7ef45f4d25e6d17d400ff8001dc4,"A 64-year-old, otherwise healthy male is found on physical exam to have a carotid bruit. An ultrasound shows luminal stenosis in the left 
internal carotid artery (ICA) of approximately 90%. He is asymptomatic. Which of the following is true of treatment for his condition? 
A. He","He should probably be treated with endovascular placement of a carotid stent and best medicalmanagement (daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","He should probably be treated with best medical management  (daily antiplatelet therapy,SBP<130 mmHg, blood glucose  well controlled, and LDL cholesterol<100).",He should probably be reassured that treatment is unnecessary at this time.,"He should probably be treated with surgical endarterectomy and best medical management(daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.7,
  ""rationale"": ""For an otherwise healthy male with asymptomatic high-grade (>80%) carotid stenosis and reasonable life expectancy, carotid endarterectomy combined with best medical management has been shown (ACAS, ACST trials) to reduce long-term stroke risk compared with medical therapy alone. CEA is preferred over stenting in patients >60-70 without high surgical risk.""
}",D,,0.7,"For an otherwise healthy male with asymptomatic high-grade (>80%) carotid stenosis and reasonable life expectancy, carotid endarterectomy combined with best medical management has been shown (ACAS, ACST trials) to reduce long-term stroke risk compared with medical therapy alone. CEA is preferred over stenting in patients >60-70 without high surgical risk."
30,e58a7a0239c2bd3ab587acc17f290963482b03ff96effa15a2b74baddfc57054,The obstetric doctor on call is asked to review a cardiotocograph performed prior to induction of labour in a 39 weeks old multigravida. Which of the following features should help to reassure the doctor that this is a normal trace?,The baseline variability is <5 beats per minute,The baseline heart rate is 100 beats per minute.,The tocograph is picking up regular contractions.,are no significant accelerations of the fetal heart on the 30-minute recording.,"{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""A normal CTG has baseline 110-160 bpm, variability >5 bpm, and presence of accelerations. Option A (variability <5) is abnormal, B (100 bpm) is bradycardia, D (no accelerations) is non-reassuring, and C (regular contractions) is not a fetal heart reassurance feature and would be unexpected prior to induction.""
}",,NO_VALID_OPTION,0.9,"A normal CTG has baseline 110-160 bpm, variability >5 bpm, and presence of accelerations. Option A (variability <5) is abnormal, B (100 bpm) is bradycardia, D (no accelerations) is non-reassuring, and C (regular contractions) is not a fetal heart reassurance feature and would be unexpected prior to induction."
