question_id,category,question_type,correct_choice,stem,option_A,option_B,option_C,option_D,row_index,judge_raw,judge_label,judge_plausible_options,judge_reason,judge_parse_ok,judge_error,judge_reused
e5a27fedf79c3a2209069f7839800ea8c7a2a1e7707c5cf4ff377bfaca63d8f2,Psychiatry,INTACT,D,"Kwesi Simon Senyo is a 25 year old man whose presented with the father to you at the clinic. His father reports that Kwesi has been a stubborn child since childhood. He would skip school , bully other children , steal from home and sometimes insulted his teachers. Currently he has not been able to stay in school, he has been caught for stealing and scamming people on several occasions. He mostly lies to get money from the parents. He thinks mostly about himself and wouldn’t mind hurting other people to benefit himself. He lacks remorse when he does bad things and is confronted. 
What is the most likely diagnosis for Kwesi’s condition?",Narcissistic personality disorder,Histrionic personality disorder,Avoidant personality disorder,Antisocial personality disorder,11,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""D""],
  ""reason"": ""The history of conduct problems since childhood, repeated violations of others’ rights, deceitfulness, and lack of remorse strongly indicate antisocial personality disorder. Option D matches this, so NOTA is incorrect.""
}",FALSE_NOTA,D,"The history of conduct problems since childhood, repeated violations of others’ rights, deceitfulness, and lack of remorse strongly indicate antisocial personality disorder. Option D matches this, so NOTA is incorrect.",TRUE,,FALSE
6263a5adb39b83da19092c21e63885cd03f5003aebb1ace6bd465d4440186fae,General_Surgery,NOTA,NOTA,"A 35-year-old lady presented with a breast lump, 2 cm X 2 cm, next to the nipple. There were three mobile axillary nodes. There was no skin involvement and not fixed to the pectoral muscle. Trucut biopsy of the lump showed duct carcinoma. Sentinel node biopsy was negative. There was no evidence of distant metastases. Given this information ONLY, the best option of her management is:","Do modified radical mastectomy, chemotherapy and radiotherapy","Do simple mastectomy, axillary lymph node dissection, chemotherapy and radiotherapy","Do simple mastectomy, chemotherapy, and radiotherapy.","Do modified radical mastectomy, chemotherapy, radiotherapy, tamoxifen, and Herceptin",12,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Best management is breast-conserving surgery with whole-breast radiotherapy and no axillary dissection given a negative sentinel node; systemic therapy depends on receptor status. All options wrongly mandate mastectomy and include unnecessary radiotherapy/axillary dissection or empiric systemic drugs.""
}",TRUE_NOTA,,Best management is breast-conserving surgery with whole-breast radiotherapy and no axillary dissection given a negative sentinel node; systemic therapy depends on receptor status. All options wrongly mandate mastectomy and include unnecessary radiotherapy/axillary dissection or empiric systemic drugs.,TRUE,,FALSE
ad5870ceb62ff64b5859fa3e63e156ac1f26b5ec1a99b316211bcee05f3b96cc,Orthopedic_Surgery,NOTA,NOTA,A 65-year-old man has had pain in the left hip joint for a few years that has begun to subside but he then has noticed a reduction in the joint range of motion in the same hip. The most useful single thing he should do is?,Engage in sessions of physiotherapy to loosen the joint,Test for rheumatoid factor,Start a two-week trial of anti-inflammatory drugs to further reduce the pain,Consider hip replacement surgery,13,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""D""],
  ""reason"": ""Progressive hip osteoarthritis with marked loss of range of motion is best managed by considering total hip replacement; physiotherapy and NSAIDs won’t restore ROM, and rheumatoid factor testing is irrelevant.""
}",FALSE_NOTA,D,"Progressive hip osteoarthritis with marked loss of range of motion is best managed by considering total hip replacement; physiotherapy and NSAIDs won’t restore ROM, and rheumatoid factor testing is irrelevant.",TRUE,,FALSE
623fbab888a119358819c7e5113d64fc8541b9c8bcb1008947ab7cb97e89fee5,Endocrinology,INTACT,A,"A 68-year-old man is admitted to hospital with pneumonia and hyponatraemia with a sodium of 116 mmol/l. He was treated with antibiotics and rapid infusions of 3% hypertonic soline. Despite initial improvement, he started having seizures and went into a coma the next day. What is the possible cause of his deterioration?",Central pontine myelinosis,Acute stroke,Syndrome of inappropriate antidiuretic hormone secretion,Meningitis,14,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""A""],
  ""reason"": ""Rapid correction of severe hyponatraemia can cause osmotic demyelination (central pontine myelinolysis), explaining coma and seizures; option A reflects this, so NOTA is not correct.""
}",FALSE_NOTA,A,"Rapid correction of severe hyponatraemia can cause osmotic demyelination (central pontine myelinolysis), explaining coma and seizures; option A reflects this, so NOTA is not correct.",TRUE,,FALSE
bca0f3ab7477c7fdc04f7ade627ab236c06db5b139750c7411cb93f4aaa749ee,Cardiology,NOTA,NOTA,A 24 year old man who has suffered from recurrent shoulder dislocation is found to have an early diastolic murmur best heard at left third intercostal space. He is tall and thin with a long arm span. What is the likely cause of the murmur?,Aortic stenosis,Pulmonary stenosis,Mitral stenosis,Tricuspid regurgitation,15,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Marfan features with an early diastolic murmur at the left sternal border indicate aortic regurgitation from aortic root dilation, which is not among the listed options.""
}",TRUE_NOTA,,"Marfan features with an early diastolic murmur at the left sternal border indicate aortic regurgitation from aortic root dilation, which is not among the listed options.",TRUE,,FALSE
7cfc58c7adeeca17732e6dbb3b423dbf0a581a5008d3efda214cc6b8168d0c76,General_Surgery,INTACT,C,"A 28-year-old male was injured in a motorcycle accident in which he was not wearing a helmet. On admission to the emergency room he was in severe respiratory distress and hypotensive (blood pressure 80/40 mm. Hg), and appeared cyanotic. He was bleeding profusely from the nose and had an obviously open femur fracture with exposed bone. Breath sounds were decreased on the right side of the chest. The initial management priority should be:",Control of hemorrhage with anterior and posterior nasal packing.,Tube thoracostomy in the right hemithorax,Endotracheal intubation with in-line cervical traction.,Obtain intravenous access and begin emergency type O blood transfusions.,16,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""B""],
  ""reason"": ""Findings suggest a right-sided tension pneumothorax; the immediate priority is decompression. Tube thoracostomy is an acceptable definitive emergent treatment, whereas the other options do not address the life-threatening breathing problem.""
}",FALSE_NOTA,B,"Findings suggest a right-sided tension pneumothorax; the immediate priority is decompression. Tube thoracostomy is an acceptable definitive emergent treatment, whereas the other options do not address the life-threatening breathing problem.",TRUE,,FALSE
bc86888c0d7272af42a447835e2152de73ef672bde37bd33aaba65f18ee9fe1f,Cardiology,NOTA,NOTA,"A 50-year-old drug abuser presents with fever and weight loss. Exam shows hypertension, nodular skin rash, and peripheral neuropathy. ESR is 100 mm/L , and RBC casts are seen on urinalysis. What is the likely diagnosis?",Polymyalgia rheumatica,Reiter’s syndrome,Ankylosing spondylitis,Drug-induced lupus erythematosus,17,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""An IV drug user with fever, nodular skin lesions, neuropathy, high ESR, and RBC casts suggests infective endocarditis–associated glomerulonephritis or vasculitis, none of which are listed; options A–D do not fit.""
}",TRUE_NOTA,,"An IV drug user with fever, nodular skin lesions, neuropathy, high ESR, and RBC casts suggests infective endocarditis–associated glomerulonephritis or vasculitis, none of which are listed; options A–D do not fit.",TRUE,,FALSE
a08c41234ec67f3778fbc05d789adffc5a16b36b5a2c10fd68071c2f66627009,Pediatrics,INTACT,D,A 2-year old child presents with two-day history of passage of blood-streaked loose stool. There was no associated vomiting but there was history of excessive crying prior to bowel opening. The most likely aetiology is:,Enterohaemorrhagic Escherichia coli.,Entamoeba coli,Shigella flexneri,Shigella dysenteriae,18,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Excessive crying before defecation suggests tenesmus of bacillary dysentery, most commonly due to Shigella flexneri; thus an option is correct and NOTA is not.""
}",FALSE_NOTA,C,"Excessive crying before defecation suggests tenesmus of bacillary dysentery, most commonly due to Shigella flexneri; thus an option is correct and NOTA is not.",TRUE,,FALSE
679aca552d8a44e0afd303a2bfb8145f7a442018bc3f195c6ebf6ab6720cb314,Pediatrics,INTACT,C,A previously healthy 8-week old infant presents with four-week history of vomiting soon after each episode of breastfeeding. Abdominal examination reveals a non-tender epigastric mass. Which of the following dyselectrolytaemia is typical?,Hyperglycaemia,Hypoglycaemia,Hypokalaemia,Hypernatraemia,19,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Presentation suggests hypertrophic pyloric stenosis, which classically causes hypochloraemic, hypokalaemic metabolic alkalosis; hypokalaemia (C) fits, others do not.""
}",FALSE_NOTA,C,"Presentation suggests hypertrophic pyloric stenosis, which classically causes hypochloraemic, hypokalaemic metabolic alkalosis; hypokalaemia (C) fits, others do not.",TRUE,,FALSE
d183959faf38afcfcb291cbf683cf66e160ab9539bc9e4e0ddfa23f272a10492,Obstetrics_and_Gynecology,INTACT,D,"A 29-year-old woman presents to her GP with small lumps on her vulva. 
Examination reveals warty lesions. Subsequently she is referred to the vulval clinic. The biopsy of the lesions reveals benign genital warts. The following drugs can be used in the treatment of her condition except which one of the following?",Trichloracetic acid,Podophyllin,Podophyllotoxin,Dactinomycin,20,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""D""],
  ""reason"": ""Dactinomycin is not used for genital warts; trichloroacetic acid, podophyllin, and podophyllotoxin are accepted treatments.""
}",FALSE_NOTA,D,"Dactinomycin is not used for genital warts; trichloroacetic acid, podophyllin, and podophyllotoxin are accepted treatments.",TRUE,,FALSE
d2fcdf819ff30c5ea685a1bf6a1b9b4b1fe1455f20bb2147f387cc8c98daf92b,Neurology,NOTA,NOTA,A 26-year-old woman presents for follow-up of her multiple sclerosis. She has had two separate episodes of optic neuritis and has noticed stutteringly progressive weakness in her lower extremities. She has a mild neurogenic bladder. MRI scanning reveals several plaques in the periventricular white matter and several other plaques in the brainstem. Which of the following best summarizes the role of interferon β for this disease?,It improves patients’ symptoms and has no significant side effects,It can cure one-third of patients,It reduces relapse rate by 50%,It improves survival,21,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Interferon beta modestly reduces relapse rates (~30%) and has notable side effects; it does not cure MS or clearly improve survival, so none of options A–D accurately summarize its role.""
}",TRUE_NOTA,,"Interferon beta modestly reduces relapse rates (~30%) and has notable side effects; it does not cure MS or clearly improve survival, so none of options A–D accurately summarize its role.",TRUE,,FALSE
4f5d98c72477b02a43fad895ba14baa5152fced1589da4a2c3c2f8453ce301bc,Gastroenterology,NOTA,NOTA,A 45-year-old woman presents to the clinic on account of easy fatigue and generalized pruritus for the past 5 months. She has a number of spider naevi over her chest and hepatomegaly 2 cm below subcostal margin. Liver function tests done were abnormal. Anti-mitochondrial antibody test is positive. What is the most likely diagnosis?,Alpha-1 antitrypsin deficiency,Wilson’s disease,Primary sclerosing cholangitis,Autoimmune hepatitis,22,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""AMA positivity with pruritus in a middle-aged woman indicates primary biliary cholangitis, which is not among options A–D. Therefore none of the other answers is correct.""
}",TRUE_NOTA,,"AMA positivity with pruritus in a middle-aged woman indicates primary biliary cholangitis, which is not among options A–D. Therefore none of the other answers is correct.",TRUE,,FALSE
11b9d730349397642247b17fbc68510c89752e0cf1aef01f66f62e0ef3f5584e,Psychiatry,NOTA,NOTA,A patient with psychotic disorder is convinced that she has caused a recent earthquake because she was bored and wishing for something exciting to occur. Which of the following symptoms MOST CLOSELY describes this symptom?,Echolalia,Obsession,Thought broadcasting,Nihilism,23,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""The belief that her wish caused an earthquake is magical thinking (delusional causation), which is not represented by echolalia, obsession, thought broadcasting, or nihilism, so none of the provided substantive options is correct.""
}",TRUE_NOTA,,"The belief that her wish caused an earthquake is magical thinking (delusional causation), which is not represented by echolalia, obsession, thought broadcasting, or nihilism, so none of the provided substantive options is correct.",TRUE,,FALSE
b2dce8406017590d925e3db8a7c60ceaf4a8acaa13ddfe24a48c48d9ca887d8e,Neurology,INTACT,C,A 20-year old male presents in your emergency room with multiple facial lacerations after a motorvehicle collision. There is one particularly deep laceration through the tragus and 4 cm into the parotid gland. You remember to check the facial nerve function and find no motion around the eye or over the forehead. The nasal ala flares on deep breathing and the corner of the mouth appears normal on smiling. What area of the facial nerve is most likely injured?,Main trunk,Inferior division,Superior division,Temporal branch,24,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Loss of forehead and eye movements with preserved nasal flare and smile indicates a lesion of the superior (temporofacial) division, not main trunk or inferior division.""
}",FALSE_NOTA,C,"Loss of forehead and eye movements with preserved nasal flare and smile indicates a lesion of the superior (temporofacial) division, not main trunk or inferior division.",TRUE,,FALSE
1fd10b9d8fc2562c7b172b3063466dc13ee6431af1c20056a37a076b22fe389b,General_Surgery,INTACT,C,"A 3-year-old male weighing 16 kg (35.3 pounds) presents with second and third-degree burns of his anterior trunk, upper back, and right arm, after pulling a large pot of boiling water off the stove onto himself. This is a 23% total body surface area burn. Fluid resuscitation is started based on the Parkland formula. When reassessing this patient 3 hours after starting fluid resuscitation, what would be an appropriate urine output?",0.25 mL/kg/hour,2.0 mL/kg/hour,1.0 ml/kg/hour,3.5 ml/kg/hour,25,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Pediatric burn resuscitation targets ~1 mL/kg/hr urine output; option C matches this, while the others are too low or excessively high.""
}",FALSE_NOTA,C,"Pediatric burn resuscitation targets ~1 mL/kg/hr urine output; option C matches this, while the others are too low or excessively high.",TRUE,,FALSE
89dc65251515e6a66ac71036fce32a8ba2e298e2710b7928990697e7125a9a95,Endocrinology,INTACT,C,A 32-year-old woman is seen at the Endocrine Clinic on account of recurring headaches and episodes of diaphoresis. She was diagnosed of hypertension 6 months which have worsened over the last few months despite starting lisinopril 10 mg daily. Blood pressure checked is 160/94 mmHg. It is also noticed that she had a large tongue and prominent lower jaw. Her body mass index is 24 kg/m2. What is the likely cause of the hypertension?,Cushing disease,Primary hypertension,Acromegaly,Phaechromocytoma,26,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""C""],
  ""reason"": ""Macroglossia and prognathism indicate acromegaly, a cause of secondary hypertension; thus option C fits best and NOTA is not correct.""
}",FALSE_NOTA,C,"Macroglossia and prognathism indicate acromegaly, a cause of secondary hypertension; thus option C fits best and NOTA is not correct.",TRUE,,FALSE
e8b57e5faf23bb2c13c0092ce69e3f60f4015c76f49668e0b7664c68b7af093b,Pediatrics,NOTA,NOTA,"A 1-year-old child presents with crying continuously and drawing his legs up. The mother reports associated episodes of passing bloody mucus per rectum. A long, thin mass is palpable in the right upper quadrant of the abdomen. No peritoneal signs are present. Intussusception is suspected. Which of the following is the most appropriate next step?",Administration of IV fluids and observation,Diagnostic laparoscopy with laparoscopic reduction,Exploratory laparotomy with bowel resection,Decompressive colonoscopy with placement of a rectal tube,27,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Stable pediatric intussusception without peritonitis is best managed with diagnostic/therapeutic air or contrast enema, which is not listed; observation or surgery are not appropriate first steps.""
}",TRUE_NOTA,,"Stable pediatric intussusception without peritonitis is best managed with diagnostic/therapeutic air or contrast enema, which is not listed; observation or surgery are not appropriate first steps.",TRUE,,FALSE
dada4d61b14696cd165474a39fdec770b6dd8da0e1f32d1d48ccf53a010878bf,Nephrology,INTACT,D,A 38-year-old male presents with hypertension and worsening renal function. An ultrasound done showed multiple cysts in both kidneys as well as cysts in the liver. A diagnosis of polycystic kidney disease is made. Which of the following is the most important association with the diagnosis?,Infertility,Colon cancer,Type 1 diabetes,Cerebral aneurysms,28,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""D""],
  ""reason"": ""Autosomal dominant polycystic kidney disease is most importantly associated with intracranial (berry) aneurysms; option D matches this.""
}",FALSE_NOTA,D,Autosomal dominant polycystic kidney disease is most importantly associated with intracranial (berry) aneurysms; option D matches this.,TRUE,,FALSE
5558fe2bfe788a2020236bd74e4b142d43ff7ef45f4d25e6d17d400ff8001dc4,Internal_Medicine,INTACT,D,"A 64-year-old, otherwise healthy male is found on physical exam to have a carotid bruit. An ultrasound shows luminal stenosis in the left 
internal carotid artery (ICA) of approximately 90%. He is asymptomatic. Which of the following is true of treatment for his condition? 
A. He","He should probably be treated with endovascular placement of a carotid stent and best medicalmanagement (daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","He should probably be treated with best medical management  (daily antiplatelet therapy,SBP<130 mmHg, blood glucose  well controlled, and LDL cholesterol<100).",He should probably be reassured that treatment is unnecessary at this time.,"He should probably be treated with surgical endarterectomy and best medical management(daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).",29,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""D""],
  ""reason"": ""In an otherwise healthy 64-year-old with asymptomatic ~90% ICA stenosis, carotid endarterectomy plus optimal medical therapy is recommended if surgical risk is low; stenting is reserved for high surgical risk and medical therapy alone is not preferred.""
}",FALSE_NOTA,D,"In an otherwise healthy 64-year-old with asymptomatic ~90% ICA stenosis, carotid endarterectomy plus optimal medical therapy is recommended if surgical risk is low; stenting is reserved for high surgical risk and medical therapy alone is not preferred.",TRUE,,FALSE
e58a7a0239c2bd3ab587acc17f290963482b03ff96effa15a2b74baddfc57054,Obstetrics_and_Gynecology,NOTA,NOTA,The obstetric doctor on call is asked to review a cardiotocograph performed prior to induction of labour in a 39 weeks old multigravida. Which of the following features should help to reassure the doctor that this is a normal trace?,The baseline variability is <5 beats per minute,The baseline heart rate is 100 beats per minute.,The tocograph is picking up regular contractions.,are no significant accelerations of the fetal heart on the 30-minute recording.,30,"{
  ""label"": ""TRUE_NOTA"",
  ""plausible_options"": [],
  ""reason"": ""Reassuring CTG features include baseline 110–160 bpm, variability 5–25 bpm, and accelerations. A and B are abnormal, D lacks accelerations, and C concerns uterine contractions rather than fetal heart, so none are reassuring.""
}",TRUE_NOTA,,"Reassuring CTG features include baseline 110–160 bpm, variability 5–25 bpm, and accelerations. A and B are abnormal, D lacks accelerations, and C concerns uterine contractions rather than fetal heart, so none are reassuring.",TRUE,,FALSE
beb60b2b374bbe06ebf60da3a61ee428c8a43f5218eef93852630864deebf280,Rheumatology,INTACT,B,"A 48-year-old black female complains of joint pain and morning stiffness over 4 months. Examination reveals swelling of the wrists and MCPs as well as tenderness and joint effusion in both knees. The rheumatoid factor is positive, antibodies to cyclic citrullinated protein are present, and subcutaneous nodules are noted on the extensor surfaces of the forearm.
Which of the following statements is correct?",Prednisone 60 mg per day should be started,The patient has RA and should be evaluated for disease-modifying antirheumatic therapy,A nonsteroidal anti-inflammatory drug should be added to aspirin,The patient’s prognosis is highly favorable,31,"{
  ""label"": ""FALSE_NOTA"",
  ""plausible_options"": [""B""],
  ""reason"": ""Option B correctly identifies RA and the need for DMARD therapy; high-dose prednisone is inappropriate, adding an NSAID to aspirin is not recommended, and prognosis is not highly favorable with RF/anti-CCP positivity and nodules.""
}",FALSE_NOTA,B,"Option B correctly identifies RA and the need for DMARD therapy; high-dose prednisone is inappropriate, adding an NSAID to aspirin is not recommended, and prognosis is not highly favorable with RF/anti-CCP positivity and nodules.",TRUE,,FALSE
