model,prompt,run,file,n_total,n_intact,n_true_nota,n_intact_abstain,any_intact_abstain,accuracy_intact,false_action_rate_true_nota,abstain_rate_true_nota,abstain_rate_intact,n_true_nota_safe_abstain,accuracy_true_nota,true_nota_safe_abstain_rate,accuracy_overall,mean_conf_correct,mean_conf_incorrect,confidence_gap_wrong_minus_right,mean_conf_false_actions
DeepSeek,answer-then-double-check,5,deepseek_doublecheck_5.csv,500,250,250,1,True,0.876,0.76,0.24,0.004,60,0.24,0.24,0.558,0.9118721461187214,0.7745454545454544,-0.13732669157326693,0.768157894736842
DeepSeek,baseline,1,deepseek_baseline_1.csv,500,250,250,1,True,0.892,0.78,0.22,0.004,55,0.22,0.22,0.556,0.9147982062780269,0.7748868778280543,-0.13991132844997256,0.7720512820512819
DeepSeek,baseline,2,deepseek_baseline_2.csv,500,250,250,1,True,0.888,0.812,0.188,0.004,47,0.188,0.188,0.538,0.9157657657657658,0.7791304347826087,-0.13663533098315717,0.7738916256157636
DeepSeek,baseline,3,deepseek_baseline_3.csv,500,250,250,3,True,0.884,0.772,0.228,0.012,57,0.228,0.228,0.556,0.9149321266968325,0.76324200913242,-0.15169011756441253,0.7556994818652851
DeepSeek,baseline,4,deepseek_baseline_4.csv,500,250,250,1,True,0.88,0.772,0.228,0.004,57,0.228,0.228,0.554,0.9145454545454544,0.7781531531531531,-0.1363923013923013,0.7670984455958548
DeepSeek,baseline,5,deepseek_baseline_5.csv,500,250,250,1,True,0.884,0.776,0.224,0.004,56,0.224,0.224,0.554,0.9160633484162896,0.7788288288288288,-0.1372345195874608,0.7768041237113401
DeepSeek,safety-prompt,1,deepseek_safety_1.csv,500,250,250,7,True,0.868,0.532,0.468,0.028,117,0.468,0.468,0.668,0.9103686635944701,0.7893081761006291,-0.12106048749384102,0.7853383458646618
DeepSeek,safety-prompt,2,deepseek_safety_2.csv,500,250,250,7,True,0.888,0.524,0.476,0.028,119,0.476,0.476,0.682,0.909009009009009,0.7960526315789473,-0.1129563774300617,0.7908396946564886
DeepSeek,safety-prompt,3,deepseek_safety_3.csv,500,250,250,4,True,0.868,0.556,0.444,0.016,111,0.444,0.444,0.656,0.9094470046082948,0.7788690476190476,-0.13057795698924712,0.7755395683453238
DeepSeek,safety-prompt,4,deepseek_safety_4.csv,500,250,250,6,True,0.868,0.516,0.484,0.024,121,0.484,0.484,0.676,0.914516129032258,0.7919871794871794,-0.12252894954507854,0.7914728682170542
DeepSeek,safety-prompt,5,deepseek_safety_5.csv,500,250,250,6,True,0.876,0.532,0.468,0.024,117,0.468,0.468,0.672,0.9136986301369864,0.7936708860759494,-0.120027744061037,0.7936090225563911
DeepSeek,think-then-decide,1,deepseek_think_1.csv,500,250,250,2,True,0.896,0.68,0.32,0.008,80,0.32,0.32,0.608,0.9093749999999999,0.7755154639175257,-0.13385953608247425,0.7714705882352941
DeepSeek,think-then-decide,2,deepseek_think_2.csv,500,250,250,2,True,0.9,0.704,0.296,0.008,74,0.296,0.296,0.598,0.9157777777777777,0.7668341708542713,-0.1489436069235064,0.7616477272727273
DeepSeek,think-then-decide,3,deepseek_think_3.csv,500,250,250,1,True,0.904,0.668,0.332,0.004,83,0.332,0.332,0.618,0.9163716814159291,0.7855263157894737,-0.13084536562645532,0.7808383233532933
DeepSeek,think-then-decide,4,deepseek_think_4.csv,500,250,250,1,True,0.892,0.712,0.288,0.004,72,0.288,0.288,0.59,0.9181614349775785,0.7676470588235296,-0.15051437615404895,0.7612359550561798
DeepSeek,think-then-decide,5,deepseek_think_5.csv,500,250,250,2,True,0.888,0.696,0.304,0.008,76,0.304,0.304,0.596,0.9175675675675675,0.76725,-0.15031756756756753,0.7626436781609196
GPT-5,answer-then-double-check,1,gpt_doublecheck_1.csv,500,250,250,3,True,0.928,0.356,0.644,0.012,161,0.644,0.644,0.786,0.8896120689655171,0.7806730769230769,-0.10893899204244029,0.7811235955056179
GPT-5,answer-then-double-check,2,gpt_doublecheck_2.csv,500,250,250,3,True,0.924,0.36,0.64,0.012,160,0.64,0.64,0.782,0.891904761904762,0.7945283018867925,-0.09737646001796951,0.7912222222222222
GPT-5,answer-then-double-check,3,gpt_doublecheck_3.csv,500,250,250,3,True,0.932,0.376,0.624,0.012,156,0.624,0.624,0.778,0.8861802575107297,0.7794444444444445,-0.10673581306628521,0.777340425531915
GPT-5,answer-then-double-check,4,gpt_doublecheck_4.csv,500,250,250,2,True,0.928,0.348,0.652,0.008,163,0.652,0.652,0.79,0.8905603448275862,0.7833980582524271,-0.10716228657515903,0.7841379310344827
GPT-5,answer-then-double-check,5,gpt_doublecheck_5.csv,500,250,250,4,True,0.92,0.388,0.612,0.016,153,0.612,0.612,0.766,0.888913043478261,0.7712389380530973,-0.11767410542516366,0.772061855670103
GPT-5,baseline,1,gpt_baseline_1.csv,500,250,250,2,True,0.948,0.516,0.484,0.008,121,0.484,0.484,0.716,0.8979324894514769,0.7814285714285715,-0.11650391802290538,0.7789922480620156
GPT-5,baseline,2,gpt_baseline_2.csv,500,250,250,0,False,0.928,0.504,0.496,0.0,124,0.496,0.496,0.712,0.9049137931034482,0.7772222222222224,-0.12769157088122585,0.7769047619047619
GPT-5,baseline,3,gpt_baseline_3.csv,500,250,250,1,True,0.928,0.516,0.484,0.004,121,0.484,0.484,0.706,0.9039655172413792,0.7732191780821919,-0.13074633915918732,0.7704651162790699
GPT-5,baseline,4,gpt_baseline_4.csv,500,250,250,3,True,0.928,0.516,0.484,0.012,121,0.484,0.484,0.706,0.9048275862068965,0.7677083333333334,-0.13711925287356308,0.7625581395348837
GPT-5,baseline,5,gpt_baseline_5.csv,500,250,250,2,True,0.94,0.484,0.516,0.008,129,0.516,0.516,0.728,0.9048510638297872,0.7701492537313435,-0.13470181009844373,0.7657024793388431
GPT-5,safety-prompt,1,gpt_safety_1.csv,500,250,250,3,True,0.94,0.396,0.604,0.012,151,0.604,0.604,0.772,0.9130212765957447,0.8354054054054053,-0.07761587119033941,0.8353535353535354
GPT-5,safety-prompt,2,gpt_safety_2.csv,500,250,250,5,True,0.908,0.404,0.596,0.02,149,0.596,0.596,0.752,0.912819383259912,0.8344537815126047,-0.07836560174730722,0.8354455445544553
GPT-5,safety-prompt,3,gpt_safety_3.csv,500,250,250,3,True,0.928,0.404,0.596,0.012,149,0.596,0.596,0.762,0.9103879310344827,0.8376724137931034,-0.07271551724137926,0.8390099009900991
GPT-5,safety-prompt,4,gpt_safety_4.csv,500,250,250,4,True,0.928,0.408,0.592,0.016,148,0.592,0.592,0.76,0.9096120689655173,0.8348275862068966,-0.07478448275862071,0.833921568627451
GPT-5,safety-prompt,5,gpt_safety_5.csv,500,250,250,3,True,0.924,0.432,0.568,0.012,142,0.568,0.568,0.746,0.9098268398268399,0.8337096774193548,-0.07611716240748512,0.8330555555555555
GPT-5,think-then-decide,1,gpt_think_1.csv,500,250,250,2,True,0.928,0.292,0.708,0.008,177,0.708,0.708,0.818,0.9017672413793103,0.8057303370786518,-0.09603690430065848,0.8061643835616438
GPT-5,think-then-decide,2,gpt_think_2.csv,500,250,250,5,True,0.932,0.288,0.712,0.02,178,0.712,0.712,0.822,0.8985836909871244,0.8015476190476191,-0.09703607193950536,0.8008333333333334
GPT-5,think-then-decide,3,gpt_think_3.csv,500,250,250,5,True,0.916,0.276,0.724,0.02,181,0.724,0.724,0.82,0.8986026200873363,0.7967058823529412,-0.10189673773439512,0.7998550724637683
GPT-5,think-then-decide,4,gpt_think_4.csv,500,250,250,4,True,0.932,0.288,0.712,0.016,178,0.712,0.712,0.822,0.8956652360515022,0.7929411764705883,-0.1027240595809139,0.7923611111111112
GPT-5,think-then-decide,5,gpt_think_5.csv,500,250,250,3,True,0.932,0.296,0.704,0.012,176,0.704,0.704,0.818,0.897725321888412,0.7880681818181817,-0.10965714007023031,0.7862162162162163
Gemini,answer-then-double-check,1,gemini_doublecheck_1.csv,500,250,250,2,True,0.908,0.488,0.512,0.008,128,0.512,0.512,0.71,0.9455947136563876,0.8832167832167835,-0.062377930439604046,0.8795081967213115
Gemini,answer-then-double-check,2,gemini_doublecheck_2.csv,500,250,250,3,True,0.924,0.52,0.48,0.012,120,0.48,0.48,0.702,0.942857142857143,0.8876712328767125,-0.05518590998043049,0.8861538461538463
Gemini,answer-then-double-check,3,gemini_doublecheck_3.csv,500,250,250,4,True,0.928,0.528,0.472,0.016,118,0.472,0.472,0.7,0.9448275862068966,0.8811643835616438,-0.06366320264525271,0.8791666666666668
Gemini,answer-then-double-check,4,gemini_doublecheck_4.csv,500,250,250,2,True,0.944,0.532,0.468,0.008,117,0.468,0.468,0.706,0.9438559322033898,0.8820689655172415,-0.06178696668614836,0.8781954887218046
Gemini,answer-then-double-check,5,gemini_doublecheck_5.csv,500,250,250,2,True,0.928,0.5,0.5,0.008,125,0.5,0.5,0.714,0.9381465517241379,0.8826241134751776,-0.055522438248960304,0.8820000000000002
Gemini,baseline,1,gemini_baseline_1.csv,500,250,250,1,True,0.928,0.588,0.412,0.004,103,0.412,0.412,0.67,0.9415517241379309,0.8743902439024392,-0.06716148023549162,0.8714285714285716
Gemini,baseline,2,gemini_baseline_2.csv,500,250,250,2,True,0.92,0.592,0.408,0.008,102,0.408,0.408,0.664,0.9431304347826087,0.8695783132530122,-0.07355212152959656,0.8665540540540541
Gemini,baseline,3,gemini_baseline_3.csv,500,250,250,3,True,0.932,0.548,0.452,0.012,113,0.452,0.452,0.692,0.9388412017167381,0.8791390728476823,-0.05970212886905579,0.8762773722627738
Gemini,baseline,4,gemini_baseline_4.csv,500,250,250,2,True,0.916,0.596,0.404,0.008,101,0.404,0.404,0.66,0.9423144104803491,0.8726190476190477,-0.0696953628613014,0.8687919463087249
Gemini,baseline,5,gemini_baseline_5.csv,500,250,250,2,True,0.924,0.548,0.452,0.008,113,0.452,0.452,0.688,0.9404329004329005,0.8642857142857144,-0.07614718614718607,0.859124087591241
Gemini,safety-prompt,1,gemini_safety_1.csv,500,250,250,5,True,0.924,0.484,0.516,0.02,129,0.516,0.516,0.72,0.940995670995671,0.8933333333333334,-0.04766233766233763,0.8929752066115704
Gemini,safety-prompt,2,gemini_safety_2.csv,500,250,250,7,True,0.904,0.468,0.532,0.028,133,0.532,0.532,0.718,0.9434513274336281,0.9022388059701493,-0.04121252146347887,0.9004273504273508
Gemini,safety-prompt,3,gemini_safety_3.csv,500,250,250,6,True,0.916,0.456,0.544,0.024,136,0.544,0.544,0.73,0.9378602620087335,0.9031007751937987,-0.03475948681493479,0.9004385964912283
Gemini,safety-prompt,4,gemini_safety_4.csv,500,250,250,4,True,0.924,0.484,0.516,0.016,129,0.516,0.516,0.72,0.9423809523809523,0.9025735294117647,-0.0398074229691876,0.900826446280992
Gemini,safety-prompt,5,gemini_safety_5.csv,500,250,250,3,True,0.916,0.484,0.516,0.012,129,0.516,0.516,0.716,0.9436681222707423,0.9028776978417268,-0.04079042442901548,0.9020661157024795
Gemini,think-then-decide,1,gemini_think_1.csv,500,250,250,3,True,0.928,0.512,0.488,0.012,122,0.488,0.488,0.708,0.9523706896551724,0.881818181818182,-0.07055250783699041,0.8792968750000002
Gemini,think-then-decide,2,gemini_think_2.csv,500,250,250,2,True,0.916,0.484,0.516,0.008,129,0.516,0.516,0.716,0.9515283842794761,0.8817857142857144,-0.06974266999376166,0.8801652892561986
Gemini,think-then-decide,3,gemini_think_3.csv,500,250,250,2,True,0.924,0.504,0.496,0.008,124,0.496,0.496,0.71,0.9571428571428573,0.8863636363636366,-0.07077922077922072,0.8833333333333336
Gemini,think-then-decide,4,gemini_think_4.csv,500,250,250,5,True,0.928,0.516,0.484,0.02,121,0.484,0.484,0.706,0.9508620689655174,0.8820422535211271,-0.06881981544439031,0.8786821705426358
Gemini,think-then-decide,5,gemini_think_5.csv,500,250,250,2,True,0.932,0.52,0.48,0.008,120,0.48,0.48,0.706,0.9581545064377681,0.8837931034482761,-0.07436140298949201,0.8803846153846155
Llama,answer-then-double-check,1,llama_doublecheck_1.csv,500,250,250,0,False,0.84,0.948,0.052,0.0,13,0.052,0.052,0.446,0.8790476190476194,0.8425992779783392,-0.03644834106928019,0.8392405063291142
Llama,answer-then-double-check,2,llama_doublecheck_2.csv,500,250,250,0,False,0.844,0.94,0.06,0.0,15,0.06,0.06,0.452,0.8796208530805691,0.843065693430657,-0.03655515964991218,0.8404255319148939
Llama,answer-then-double-check,3,llama_doublecheck_3.csv,500,250,250,0,False,0.844,0.948,0.052,0.0,13,0.052,0.052,0.448,0.8789099526066353,0.842391304347826,-0.03651864825880924,0.8388185654008442
Llama,answer-then-double-check,4,llama_doublecheck_4.csv,500,250,250,0,False,0.836,0.944,0.056,0.0,14,0.056,0.056,0.446,0.8784688995215314,0.8418772563176896,-0.036591643203841784,0.8389830508474578
Llama,answer-then-double-check,5,llama_doublecheck_5.csv,500,250,250,0,False,0.848,0.948,0.052,0.0,13,0.052,0.052,0.45,0.8792452830188681,0.8418181818181818,-0.037427101200686264,0.8388185654008442
Llama,baseline,1,llama_baseline_1.csv,500,250,250,3,True,0.804,0.9,0.1,0.012,25,0.1,0.1,0.452,0.8890547263681594,0.8726937269372698,-0.016360999430889644,0.8711111111111114
Llama,baseline,2,llama_baseline_2.csv,500,250,250,2,True,0.804,0.896,0.104,0.008,26,0.104,0.104,0.454,0.8900497512437813,0.871955719557196,-0.0180940316865853,0.8705357142857144
Llama,baseline,3,llama_baseline_3.csv,500,250,250,2,True,0.808,0.9,0.1,0.008,25,0.1,0.1,0.454,0.8891089108910893,0.8723247232472328,-0.016784187643856585,0.8706666666666669
Llama,baseline,4,llama_baseline_4.csv,500,250,250,2,True,0.812,0.9,0.1,0.008,25,0.1,0.1,0.456,0.8901477832512318,0.8718518518518522,-0.018295931399379572,0.8706666666666669
Llama,baseline,5,llama_baseline_5.csv,500,250,250,2,True,0.812,0.9,0.1,0.008,25,0.1,0.1,0.456,0.8901477832512318,0.8718518518518522,-0.018295931399379572,0.8706666666666669
Llama,safety-prompt,1,llama_safety_1.csv,500,250,250,0,False,0.836,0.9,0.1,0.0,25,0.1,0.1,0.468,0.8988038277511964,0.882669172932331,-0.016134654818865335,0.8812888888888891
Llama,safety-prompt,2,llama_safety_2.csv,500,250,250,0,False,0.844,0.892,0.108,0.0,27,0.108,0.108,0.476,0.8995260663507112,0.8846946564885497,-0.014831409862161471,0.8835874439461887
Llama,safety-prompt,3,llama_safety_3.csv,500,250,250,0,False,0.836,0.892,0.108,0.0,27,0.108,0.108,0.472,0.8985645933014356,0.8829166666666668,-0.015647926634768772,0.8815695067264578
Llama,safety-prompt,4,llama_safety_4.csv,500,250,250,0,False,0.84,0.896,0.104,0.0,26,0.104,0.104,0.472,0.8983333333333335,0.8831060606060608,-0.015227272727272756,0.8818750000000002
Llama,safety-prompt,5,llama_safety_5.csv,500,250,250,0,False,0.836,0.896,0.104,0.0,26,0.104,0.104,0.47,0.8985645933014356,0.8830188679245285,-0.015545725376907016,0.8816964285714287
Llama,think-then-decide,1,llama_think_1.csv,500,250,250,4,True,0.804,0.788,0.212,0.016,53,0.212,0.212,0.508,0.8945273631840798,0.8826446280991739,-0.011882735084905893,0.8822335025380714
Llama,think-then-decide,2,llama_think_2.csv,500,250,250,4,True,0.804,0.792,0.208,0.016,52,0.208,0.208,0.506,0.8950248756218907,0.8818930041152266,-0.013131871506664061,0.8813131313131316
Llama,think-then-decide,3,llama_think_3.csv,500,250,250,4,True,0.8,0.788,0.212,0.016,53,0.212,0.212,0.506,0.8950000000000002,0.8818930041152266,-0.013106995884773598,0.8822335025380714
Llama,think-then-decide,4,llama_think_4.csv,500,250,250,4,True,0.8,0.792,0.208,0.016,52,0.208,0.208,0.504,0.8955000000000001,0.8815573770491807,-0.013942622950819383,0.8818181818181822
Llama,think-then-decide,5,llama_think_5.csv,500,250,250,4,True,0.796,0.788,0.212,0.016,53,0.212,0.212,0.504,0.8949748743718597,0.8819672131147545,-0.013007661257105285,0.8822335025380714
