row_index,question_id,stem,option_A,option_B,option_C,option_D,gemini_raw,gemini_choice,gemini_abstain_code,gemini_confidence,gemini_rationale
51,51,"A previously healthy 2-year-old boy is brought to the physician because of a 10-day history of unsteady gait, frequent falls, and twitching of the extremities. Physical examination shows bilateral saccadic eye movement in all directions and brief, involuntary muscle contractions of the trunk and limbs. There is an ill-defined, nontender mass in the upper right abdomen. He undergoes surgical resection of the tumor. Histopathologic examination of this mass is most likely to show which of the following?",Blastic skeletal muscle cells arranged in nests and sheets,Numerous immature lymphocytes in a starry sky pattern,Abortive glomeruli and tubules in a spindle cell stroma,Small blue cells arranged in rosettes around a central neuropil,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The patient's presentation with opsoclonus (saccadic eye movements), myoclonus (twitching), and ataxia, coupled with an abdominal mass, is a classic paraneoplastic syndrome highly associated with neuroblastoma. The characteristic histopathology of neuroblastoma is small, round, blue cells arranged in Homer-Wright rosettes around a central neuropil.""
}
```",D,,0.95,"The patient's presentation with opsoclonus (saccadic eye movements), myoclonus (twitching), and ataxia, coupled with an abdominal mass, is a classic paraneoplastic syndrome highly associated with neuroblastoma. The characteristic histopathology of neuroblastoma is small, round, blue cells arranged in Homer-Wright rosettes around a central neuropil."
52,52,"A 13-year-old boy is brought to his pediatrician due to a left breast lump under his nipple. He noticed it last month and felt that it has increased slightly in size. It is tender to touch but has no overlying skin changes. There is no breast discharge. The patient has cryptorchidism as an infant and underwent a successful orchiopexy. In addition, he was recently diagnosed with ADHD and is currently on methylphenidate with improvement in his symptoms. He has a family history of type I diabetes in his father and breast fibroadenoma in his mother. On exam, the patient is at the 82nd percentile for height, 79th percentile for weight, and 80th percentile for BMI. He has tanner IV pubic hair. Testicular volume is 7 mL on each side, and both testes are smooth and freely mobile. Breast exam shows a normal right breast and a 3-centimeter round, firm, and slightly tender discrete mass under the left nipple. Which of the following is the most likely etiology of this patients condition?",Klinefelter syndrome,Lipomastia (pseudogynecomastia),Testicular cancer,Medication side effect,"```json
{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's clinical presentation includes gynecomastia, a history of cryptorchidism, and a diagnosis of ADHD. This constellation of findings is highly suggestive of Klinefelter syndrome (47,XXY), which is a common cause of primary hypogonadism and is associated with all three of these conditions. While physiologic pubertal gynecomastia is very common, the presence of the other features makes an underlying genetic syndrome the most likely etiology among the choices given.""
}
```",A,,0.9,"The patient's clinical presentation includes gynecomastia, a history of cryptorchidism, and a diagnosis of ADHD. This constellation of findings is highly suggestive of Klinefelter syndrome (47,XXY), which is a common cause of primary hypogonadism and is associated with all three of these conditions. While physiologic pubertal gynecomastia is very common, the presence of the other features makes an underlying genetic syndrome the most likely etiology among the choices given."
53,53,"A 47-year-old executive schedules an appointment his physician for a routine medical check-up. He currently has no complaints and claims to be as fit as a fiddle. The physical examination findings are unremarkable, except for a mid-systolic murmur heard in the 2nd left intercostal space that radiates to the carotids on auscultation. The physician instructs the patient to stand from a supine position with the stethoscope still placed on his chest. Which of the following changes would occur with this maneuver?",An increase in right atrial pressure,An increase in left ventricular end-diastolic pressure,An increase in pulmonary capillary wedge pressure,A reduction in the slope of the pacemaker potential,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.95,
  ""rationale"": ""Standing from a supine position decreases venous return, which leads to a decrease (not an increase) in right atrial pressure, left ventricular end-diastolic pressure, and pulmonary capillary wedge pressure. The resulting drop in blood pressure triggers a baroreceptor reflex that increases sympathetic tone, which *increases* (not reduces) the slope of the pacemaker potential to cause reflex tachycardia. Therefore, all the provided options are physiologically incorrect.""
}
```",,NO_VALID_OPTION,0.95,"Standing from a supine position decreases venous return, which leads to a decrease (not an increase) in right atrial pressure, left ventricular end-diastolic pressure, and pulmonary capillary wedge pressure. The resulting drop in blood pressure triggers a baroreceptor reflex that increases sympathetic tone, which *increases* (not reduces) the slope of the pacemaker potential to cause reflex tachycardia. Therefore, all the provided options are physiologically incorrect."
54,54,"A 41-year-old man presents to the emergency department with a 6-hour history of muscle cramping, decreased appetite, and diarrhea. He says that these symptoms came on rapidly but does not recall anything that may have triggered the episode. He has never experienced these symptoms before. His past medical history is significant for obesity, sleep apnea, and type 2 diabetes that is well controlled on metformin. He also has gastroesophageal reflux disease for which he occasionally takes antacids. On presentation he is found to have fast, shallow breathing and abdominal pain that is poorly localized. Basic labs as well as an arterial blood gas are obtained and the results are shown below:

Na+: 139 mEq/L
Cl-: 106 mEq/L
HCO3-: 11 mEq/L
pH: 7.25
pCO2: 22 mmHg

Which of the following is the most likely cause of the changes seen in this patient's labs?",Antacids,Anxiety,Diarrhea,Sleep apnea,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's labs show an anion gap metabolic acidosis (AGMA), with an anion gap of 22. Diarrhea, the most plausible distractor, classically causes a non-anion gap metabolic acidosis (NAGMA). The other options are incorrect as they cause different acid-base disturbances. The clinical picture is highly suggestive of metformin-associated lactic acidosis (MALA), which is a cause of AGMA but is not listed as an option.""
}
```",,NO_VALID_OPTION,0.9,"The patient's labs show an anion gap metabolic acidosis (AGMA), with an anion gap of 22. Diarrhea, the most plausible distractor, classically causes a non-anion gap metabolic acidosis (NAGMA). The other options are incorrect as they cause different acid-base disturbances. The clinical picture is highly suggestive of metformin-associated lactic acidosis (MALA), which is a cause of AGMA but is not listed as an option."
55,55,"A 63-year-old man comes to the emergency department because of retrosternal chest pain. He describes it as 7 out of 10 in intensity. He has coronary artery disease, hypertension, and type 2 diabetes mellitus. His current medications are aspirin, simvastatin, metformin, and enalapril. He has smoked one pack of cigarettes daily for 33 years. On arrival, his pulse is 136/min and irregular, respirations are 20/min, and blood pressure is 85/55 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. An ECG is shown. Which of the following is the most appropriate next step in management?",Coronary angiogram,Intravenous esmolol,Synchronized cardioversion,Defibrillation,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The patient presents with a tachyarrhythmia (pulse 136/min and irregular, likely atrial fibrillation) and signs of hemodynamic instability, including hypotension (BP 85/55 mm Hg) and ischemic chest pain. According to ACLS guidelines, the immediate treatment for any unstable tachyarrhythmia is synchronized cardioversion. Rate-controlling agents like esmolol are contraindicated in hypotensive patients, and defibrillation is reserved for pulseless rhythms.""
}
```",C,,0.95,"The patient presents with a tachyarrhythmia (pulse 136/min and irregular, likely atrial fibrillation) and signs of hemodynamic instability, including hypotension (BP 85/55 mm Hg) and ischemic chest pain. According to ACLS guidelines, the immediate treatment for any unstable tachyarrhythmia is synchronized cardioversion. Rate-controlling agents like esmolol are contraindicated in hypotensive patients, and defibrillation is reserved for pulseless rhythms."
56,56,"A 12-year-old boy is brought to the emergency department for the evaluation of persistent bleeding from his nose over the past hour. The bleeding started spontaneously. He has no history of a similar episode. He takes no medications. There is no history of abnormal bleeding in the family. His vital signs are within normal limits. On examination, he is pressing a gauze against his left nostril while hyperextending his head. The gauze is stained with blood and upon withdrawal of the gauze blood slowly drips out of his left nostrils. There is no bleeding from the right nostril. The remainder of the physical examination shows no abnormalities. Which of the following is the most appropriate initial therapy?",Oxymetazoline nasal spray,Placement of an epinephrine gauze in the left nostril,Silver nitrate cauterization of the bleeding vessel and surrounding vessels,Squeezing the nostrils manually for 10 minutes with the head elevated,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The most appropriate initial therapy for uncomplicated anterior epistaxis is the application of direct pressure. The patient should sit up, lean forward, and pinch the soft, fleshy part of the nose continuously for 10-15 minutes. Interventions like vasoconstrictors or cautery are considered second-line if direct pressure fails.""
}
```",D,,0.9,"The most appropriate initial therapy for uncomplicated anterior epistaxis is the application of direct pressure. The patient should sit up, lean forward, and pinch the soft, fleshy part of the nose continuously for 10-15 minutes. Interventions like vasoconstrictors or cautery are considered second-line if direct pressure fails."
57,57,A 50-year-old man with congestive heart failure (CHF) was started on an experimental analog of atrial natriuretic peptide. Which of the following would he expect to experience?,Increased water reabsorption by the renal collecting ducts,"Increased glomerular filtration rate, restricted aldosterone release, vascular smooth muscle dilation",Increased renal absorption of sodium and water,Increased plasma calcium and decreased renal reabsorption of phosphate,"```json
{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 1.0,
  ""rationale"": ""Atrial natriuretic peptide (ANP) is released in response to atrial stretch (e.g., in congestive heart failure) to reduce blood volume and pressure. Its mechanisms include dilating afferent arterioles to increase GFR, inhibiting aldosterone release to reduce sodium/water retention, and causing systemic vasodilation to lower blood pressure.""
}
```",B,,1.0,"Atrial natriuretic peptide (ANP) is released in response to atrial stretch (e.g., in congestive heart failure) to reduce blood volume and pressure. Its mechanisms include dilating afferent arterioles to increase GFR, inhibiting aldosterone release to reduce sodium/water retention, and causing systemic vasodilation to lower blood pressure."
58,58,"A 20-year-old woman presents with vaginal discharge, pruritus, and painful micturition for the past 5 days. She is sexually active with multiple partners and admits to using barrier protection inconsistently. Her last menstrual period was 2 weeks ago. The patient denies any fever, chills, abdominal pain, menorrhagia, or flank pain. She is afebrile and the vital signs are within normal limits. Speculum examination reveals vaginal erythema with a profuse, greenish-yellow, purulent, malodorous discharge. The vaginal pH is 5.5. Vaginal swab and urine samples are obtained for microscopy and culture, and results are pending. Which of the following is the most likely diagnosis in this patient based on her presentation?",Urinary tract infection,Candida vaginitis,Trichomonal vaginitis,Chlamydia infection,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The combination of a profuse, greenish-yellow, purulent, malodorous vaginal discharge and an elevated vaginal pH (>4.5) is highly characteristic of trichomonal vaginitis. While the patient has risk factors for other STIs and could have a co-infection, this specific clinical presentation makes Trichomonas the most likely primary diagnosis.""
}
```",C,,0.95,"The combination of a profuse, greenish-yellow, purulent, malodorous vaginal discharge and an elevated vaginal pH (>4.5) is highly characteristic of trichomonal vaginitis. While the patient has risk factors for other STIs and could have a co-infection, this specific clinical presentation makes Trichomonas the most likely primary diagnosis."
59,59,"A 17-year-old football player with no significant past medical history, social history, or family history presents to his pediatrician with itching in his groin. He says this started during summer workouts leading up to this season. He denies having any rash anywhere else on his body. The blood pressure is 123/78 mm Hg, pulse is 67/min, respiratory rate is 15/min, and temperature is 38.1C (98.7F). Physical examination reveals an erythematous, well-demarcated patch with peripheral scale on the left thigh, pubic region, and perineum. There is no apparent scrotal involvement with the rash. How can you confirm the suspected diagnosis?",Localized ultrasound,Nikolsky's sign on physical exam,Gram stain of skin scrapings,AFB stain of skin scrapings,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation is highly suggestive of tinea cruris, a dermatophyte infection. The standard and most appropriate method for confirming this diagnosis is a potassium hydroxide (KOH) preparation of skin scrapings to visualize fungal hyphae. None of the provided options represent the correct diagnostic test for this condition.""
}
```",,NO_VALID_OPTION,0.9,"The clinical presentation is highly suggestive of tinea cruris, a dermatophyte infection. The standard and most appropriate method for confirming this diagnosis is a potassium hydroxide (KOH) preparation of skin scrapings to visualize fungal hyphae. None of the provided options represent the correct diagnostic test for this condition."
60,60,"A 68-year-old woman presents with left lower quadrant pain that worsens with defecation. She describes the pain as 'crampy'. She also says she has suffered from mild constipation for the past few years. The patient denies any recent weight change or urinary symptoms. Her last menstrual period was 16 years ago. Her body temperature is 37.8C (100.0F), pulse is 102/min, respiratory rate is 16/min, and blood pressure is 133/87 mm Hg. On physical examination, tenderness to palpation in the left lower quadrant is present. The laboratory studies are presented as follows:
Hemoglobin 13.2 mg/dL
Hematocrit 48%
Leukocyte count 16,000/mm
Neutrophils 89%
Bands 5%
Eosinophils 0%
Basophils 0%
Lymphocytes 11%
Monocytes 0%
Platelet count 380,000/mm
Which of the following is the most likely diagnosis in this patient?",Hypothyroidism,Adenocarcinoma of the colon,Chronic inflammatory bowel disease,Irritable bowel syndrome,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's presentation with low-grade fever, left lower quadrant tenderness, and leukocytosis with a left shift is classic for acute diverticulitis. Since this is not an available option, and the other choices are either inconsistent with the inflammatory findings (IBS, hypothyroidism) or are less likely than diverticulitis (adenocarcinoma, IBD), no option can be selected as the 'most likely' diagnosis.""
}
```",,NO_VALID_OPTION,0.9,"The patient's presentation with low-grade fever, left lower quadrant tenderness, and leukocytosis with a left shift is classic for acute diverticulitis. Since this is not an available option, and the other choices are either inconsistent with the inflammatory findings (IBS, hypothyroidism) or are less likely than diverticulitis (adenocarcinoma, IBD), no option can be selected as the 'most likely' diagnosis."
61,61,"A 65-year-old man presents to his primary care physician with a neck mass. He first noticed a firm mass on the anterior aspect of his neck approximately 4 months ago. The mass is painless and has not increased in size since then. He has also noticed occasional fatigue and has gained 10 pounds in the past 4 months despite no change in his diet or exercise frequency. His past medical history is notable for gout for which he takes allopurinol. He denies any prior thyroid disorder. He runs 4 times per week and eats a balanced diet of mostly fruits and vegetables. He does not smoke and drinks a glass of wine with dinner. His family history is notable for medullary thyroid cancer in his maternal uncle. His temperature is 97.8F (36.6C), blood pressure is 127/72 mmHg, pulse is 87/min, and respirations are 19/min. On exam, he has a firm, symmetric, and stone-firm thyroid. A biopsy of this patient's lesion would most likely demonstrate which of the following findings?",Diffuse infiltrate of lymphoid cells destroying thyroid follicles,Papillary projections with dystrophically calcified regions,Pleomorphic undifferentiated infiltrative cells with necrosis,Stromal amyloid deposition,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's strong family history of medullary thyroid cancer (MTC) in a first-degree relative, combined with a \""stone-firm\"" thyroid on exam, makes MTC the most likely diagnosis. The characteristic histopathological finding for MTC is stromal amyloid deposition, which consists of calcitonin fibrils. The patient's hypothyroid symptoms can be explained by the destruction of normal thyroid tissue by the tumor.""
}
```",D,,0.9,"The patient's strong family history of medullary thyroid cancer (MTC) in a first-degree relative, combined with a ""stone-firm"" thyroid on exam, makes MTC the most likely diagnosis. The characteristic histopathological finding for MTC is stromal amyloid deposition, which consists of calcitonin fibrils. The patient's hypothyroid symptoms can be explained by the destruction of normal thyroid tissue by the tumor."
62,62,"A 79-year-old man presents to the office due to shortness of breath with moderate exertion and a slightly productive cough. He has a medical history of 25 years of heavy smoking. His vitals include: heart rate 89/min, respiratory rate 27/min, and blood pressure 120/90 mm Hg. The physical exam shows increased resonance to percussion, decreased breath sounds, and crackles at the lung base. Chest radiography shows signs of pulmonary hyperinflation. Spirometry shows a forced expiratory volume in the first second (FEV1) of 48%, a forced vital capacity (FVC) of 85%, and an FEV1/FVC ratio of 56%. According to these results, what is the most likely diagnosis?",Asthma,Lymphangioleiomyomatosis,Chronic obstructive pulmonary disease (COPD),Heart failure,"```json
{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 1.0,
  ""rationale"": ""The patient's advanced age, significant smoking history, and symptoms of exertional dyspnea are highly suggestive of COPD. This diagnosis is confirmed by the spirometry results, which show an FEV1/FVC ratio of 56% (< 70%), indicating a clear obstructive pattern.""
}
```",C,,1.0,"The patient's advanced age, significant smoking history, and symptoms of exertional dyspnea are highly suggestive of COPD. This diagnosis is confirmed by the spirometry results, which show an FEV1/FVC ratio of 56% (< 70%), indicating a clear obstructive pattern."
63,63,"A 5-year-old female is brought to a speech therapist for continuing work on improving her communication skills. She is only able to verbalize two word sentences and has generalized developmental delay. When she was born it was noticed that she had a high pitched mewing cry and subsequent physical exam revealed microcephaly, prominent epicanthal folds, and a holosystolic murmur best heard in the left 5th intercostal space near the sternum. An abnormality of which of the following chromosomes is most likely responsible for this patient's disorder?",7,13,18,21,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 1.0,
  ""rationale"": ""The patient's presentation, including the characteristic high-pitched 'mewing' cry, microcephaly, and developmental delay, is pathognomonic for Cri-du-chat syndrome. This genetic disorder is caused by a deletion on the short arm of chromosome 5. None of the provided options (chromosomes 7, 13, 18, or 21) are associated with this specific syndrome.""
}
```",,NO_VALID_OPTION,1.0,"The patient's presentation, including the characteristic high-pitched 'mewing' cry, microcephaly, and developmental delay, is pathognomonic for Cri-du-chat syndrome. This genetic disorder is caused by a deletion on the short arm of chromosome 5. None of the provided options (chromosomes 7, 13, 18, or 21) are associated with this specific syndrome."
64,64,"A 32-year-old woman presents to the physician because she feels depressed, has difficulty sleeping, has a poor appetite, and has had a problem concentrating for the past 3 months. During this time, she has also has had low energy and has lost interest in playing the guitar. During high school, the patient went through similar episodes of low mood and poor sleep. At that time, she would repeatedly engage in binge eating and purging behavior, for which she was referred to therapy. There is no evidence of suicidal ideation. Her physician offers to prescribe a medication for her current symptoms. Treatment with which of the following drugs should be avoided in this patient?",Bupropion,Fluoxetine,Mirtazapine,Trazodone,"```json
{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 1.0,
  ""rationale"": ""Bupropion is contraindicated in patients with a current or prior diagnosis of bulimia nervosa or anorexia nervosa. This is due to an increased risk of seizures, which is thought to be related to the electrolyte disturbances that can occur with purging behaviors. The patient's history of binge eating and purging is consistent with bulimia nervosa, making bupropion an unsafe choice.""
}
```",A,,1.0,"Bupropion is contraindicated in patients with a current or prior diagnosis of bulimia nervosa or anorexia nervosa. This is due to an increased risk of seizures, which is thought to be related to the electrolyte disturbances that can occur with purging behaviors. The patient's history of binge eating and purging is consistent with bulimia nervosa, making bupropion an unsafe choice."
65,65,"A 15-year-old boy with poorly controlled asthma presents to the emergency room complaining of severe shortness of breath. His mother reports that he had trouble breathing soon after he started playing soccer with some friends and was unable to use his inhaler as it was empty. His family history is notable for emphysema in his paternal uncle and cirrhosis in his maternal grandfather. The childs temperature is 99.0F (37.2C), blood pressure is 130/90 mmHg, pulse is 130/min, respirations are 28/min, and oxygen saturation is 91% on room air. Physical examination demonstrates wheezing bilaterally in all lung fields. The child is started on supplemental oxygen and a nebulized bronchodilator. Which of the following is a downstream effect of this medication?",Decreased leukotriene activity,Prevention of mast cell degranulation,Decreased phosphodiesterase activity,Increased adenylate cyclase activity,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""The patient is being treated for an acute asthma exacerbation with a nebulized bronchodilator, which is a beta-2 agonist (e.g., albuterol). Beta-2 agonists bind to Gs-protein coupled receptors on bronchial smooth muscle, which activates adenylate cyclase. This enzyme then increases intracellular levels of cyclic AMP (cAMP), leading to smooth muscle relaxation and bronchodilation.""
}
```",D,,0.95,"The patient is being treated for an acute asthma exacerbation with a nebulized bronchodilator, which is a beta-2 agonist (e.g., albuterol). Beta-2 agonists bind to Gs-protein coupled receptors on bronchial smooth muscle, which activates adenylate cyclase. This enzyme then increases intracellular levels of cyclic AMP (cAMP), leading to smooth muscle relaxation and bronchodilation."
66,66,"A transvaginal ultrasound shows an intrauterine heteroechoic mass with numerous anechoic spaces and no identifiable fetus or amniotic fluid. Both the ovaries are enlarged and have multiple thin-walled, septated cysts with clear content. Which of the following is the most likely cause of the ovarian findings?",Chocolate cysts,Corpus luteum cysts,Yolk sac tumor,Luteoma of pregnancy,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.95,
  ""rationale"": ""The ultrasound findings of an intrauterine heteroechoic mass with anechoic spaces are classic for a molar pregnancy, which causes markedly elevated hCG. The ovarian findings of bilateral, enlarged, multicystic ovaries are characteristic of theca lutein cysts, resulting from ovarian hyperstimulation by hCG. None of the provided options accurately describe this condition.""
}
```",,NO_VALID_OPTION,0.95,"The ultrasound findings of an intrauterine heteroechoic mass with anechoic spaces are classic for a molar pregnancy, which causes markedly elevated hCG. The ovarian findings of bilateral, enlarged, multicystic ovaries are characteristic of theca lutein cysts, resulting from ovarian hyperstimulation by hCG. None of the provided options accurately describe this condition."
67,67,"A 56-year-old man presents to the emergency department for progressively worsening fatigue, malaise, fever, and abdominal pain. He reports that his symptoms began approximately 1 week ago and he has noticed episodes of diarrhea. He recently started melatonin and magnesium supplementation in hopes of improving his sleep. Medical history is significant for alcohol use disorder that required multiple hospital admissions for management of acute pancreatitis and cirrhosis. He states that he occasionally injects heroin intravenously. Temperature is 100F (37.8C), blood pressure is 105/70 mmHg, pulse is 92/min, and respirations are 17/min. Physical examination is significant for scleral icterus, hepatomegaly, ascites, and diffuse abdominal tenderness. Laboratory testing is significant for leukocytosis and metabolic acidosis. A paracentesis is performed and he is admitted into the hospital to receive intravenous cefotaxime and albumin. Ascitic fluid analysis demonstrates a polymorphonuclear cell count of 280 cells/mm^3, serum-ascites albumin gradient of 1.3 g/dL, and a culture positive for Escherichia coli sensitive to cefotaxime and ceftriaxone. On hospital day 2, the nurse reports that the patient is oliguric in the setting of constant fluid intake. Physical examination is unchanged. Laboratory testing is significant for a serum sodium of 131 mEq/L and creatinine of 1.8 mg/dL (it was 0.9 mg/dL on admission). Urine studies are significant for a low urine sodium level, without evidence of blood or protein. Since the hospital admission, he has not been started on any new medications. Which of the following will be the best treatment option for this patient?",Adding dopamine to his treatment regimen,Adding lisinopril to his treatment regimen,Switching cefotaxime to ceftriaxone,Transjugular intrahepatic portosystemic shunting,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient has developed hepatorenal syndrome type-AKI, precipitated by spontaneous bacterial peritonitis. The first-line medical therapy for this condition is a combination of albumin and a vasoconstrictor (e.g., terlipressin, or midodrine and octreotide). None of the listed options represent this standard of care, and some, like lisinopril, are contraindicated.""
}
```",,NO_VALID_OPTION,0.9,"The patient has developed hepatorenal syndrome type-AKI, precipitated by spontaneous bacterial peritonitis. The first-line medical therapy for this condition is a combination of albumin and a vasoconstrictor (e.g., terlipressin, or midodrine and octreotide). None of the listed options represent this standard of care, and some, like lisinopril, are contraindicated."
68,68,"An 83-year-old man is admitted to the hospital with fever, weakness, and decreased responsiveness. He is diagnosed with urosepsis based on urinalysis and culture and started on ceftriaxone and intravenous fluids. By hospital day 3, he is clinically improving. During the evening, the patient becomes irritable. He is talking to someone despite nobody being present in the room. He is easily agitated and attempts to strike a nurse with a remote control to his TV. Subsequently, the patient keeps getting out of bed and trying to walk away despite being a fall risk. Which of the following is the most appropriate next step in management?",Diphenhydramine,Lorazepam,Phenobarbital,Physical restraints,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient is exhibiting hyperactive delirium with agitation and violent behavior, posing an immediate risk of harm to himself and staff. While environmental modifications and de-escalation are primary, physical restraints are the most appropriate next step among the choices to ensure immediate safety. Medications like diphenhydramine and lorazepam are contraindicated as they can worsen delirium in the elderly.""
}
```",D,,0.8,"The patient is exhibiting hyperactive delirium with agitation and violent behavior, posing an immediate risk of harm to himself and staff. While environmental modifications and de-escalation are primary, physical restraints are the most appropriate next step among the choices to ensure immediate safety. Medications like diphenhydramine and lorazepam are contraindicated as they can worsen delirium in the elderly."
69,69,"A 70-year-old woman comes to the physician for the evaluation of back pain. For the past six days, she has had a burning pain in her upper right back and chest. She cannot recall any recent injury and has no prior history of back pain. She has a history of hypertension and gastroesophageal reflux. The patient volunteers at an animal shelter three times a week. She does not smoke or drink alcohol. Current medications include ramipril and pantoprazole. The patient appears healthy and well nourished. Her temperature is 36.9C (98.42F), pulse is 76/min, and blood pressure is 145/92 mm Hg. Examination shows a long erythematous rash covered with multiple clear vesicles and crusty lesions extending from her back to below her right breast. Which of the following is the most likely underlying mechanism of the disease?",IgA deposits in the upper dermis,Bacterial lymphatic infection of the epidermis,Infestation with bloodsucking parasites,Brown recluse spider envenomation,"```json
{
  ""choice"": null,
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.95,
  ""rationale"": ""The patient's presentation of a painful, vesicular rash in a unilateral dermatomal distribution is a classic presentation of herpes zoster (shingles). This condition is caused by the reactivation of the varicella-zoster virus. None of the provided options describe this mechanism; they describe dermatitis herpetiformis (A), erysipelas (B), parasitic infestation (C), and a spider bite (D), none of which fit the clinical picture.""
}
```",,NO_VALID_OPTION,0.95,"The patient's presentation of a painful, vesicular rash in a unilateral dermatomal distribution is a classic presentation of herpes zoster (shingles). This condition is caused by the reactivation of the varicella-zoster virus. None of the provided options describe this mechanism; they describe dermatitis herpetiformis (A), erysipelas (B), parasitic infestation (C), and a spider bite (D), none of which fit the clinical picture."
70,70,"A 27-year-old man presents to the emergency room complaining of left shoulder pain for several weeks. He says that the pain often worsens when he tries to sleep on his left side. Although he tried several pain medications, none of the pain medications helped. He is an amateur tennis player who practices on weekends. He denies any trauma during his practice sessions. On examination of the shoulder joint, severe tenderness was present localized to the greater tuberosity of the left shoulder joint along with biceps tendon tenderness over the bicipital groove. The range of motion was limited to the left side. An X-ray of the joint showed narrowing of the acromiohumeral space with sclerosis and spurring of the acromion. Routine blood test results are normal except for the rheumatoid factor, which is positive. What is the most likely diagnosis?",Trauma,Referred pain from the neck and back,Rheumatoid arthritis,Osteoarthritis,"```json
{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's history of repetitive overhead activity (tennis), localized shoulder tenderness, and limited range of motion are classic for impingement syndrome. The X-ray findings of acromiohumeral space narrowing, sclerosis, and spurring are definitive for osteoarthritis, which in this case is likely secondary to chronic impingement. The positive rheumatoid factor is likely an incidental finding, as the clinical picture is not typical for rheumatoid arthritis.""
}
```",D,,0.9,"The patient's history of repetitive overhead activity (tennis), localized shoulder tenderness, and limited range of motion are classic for impingement syndrome. The X-ray findings of acromiohumeral space narrowing, sclerosis, and spurring are definitive for osteoarthritis, which in this case is likely secondary to chronic impingement. The positive rheumatoid factor is likely an incidental finding, as the clinical picture is not typical for rheumatoid arthritis."
71,71,"A 25-year-old man presents to the emergency department with altered mental status. He was found down in the middle of the street. His past medical history is unknown. His temperature is 99.0F (37.2C), blood pressure is 104/64 mmHg, pulse is 70/min, respirations are 5/min, and oxygen saturation is 91% on room air. The patient is being resuscitated in the trauma bay. Which of the following was most likely to be found on exam?",Ataxia,Conjunctival injection,Mydriasis,Nystagmus,"```json
{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's severe respiratory depression (5 breaths/min) and altered mental status are pathognomonic for an opioid overdose. The classic physical exam finding for an opioid toxidrome is miosis (pinpoint pupils). None of the provided options are characteristic; in fact, mydriasis (dilated pupils) is the opposite of the expected finding.""
}
```",,NO_VALID_OPTION,0.9,"The patient's severe respiratory depression (5 breaths/min) and altered mental status are pathognomonic for an opioid overdose. The classic physical exam finding for an opioid toxidrome is miosis (pinpoint pupils). None of the provided options are characteristic; in fact, mydriasis (dilated pupils) is the opposite of the expected finding."
