row_index,question_id,stem,option_A,option_B,option_C,option_D,claude_raw,claude_choice,claude_abstain_code,claude_confidence,claude_rationale
11,11,"A 69-year-old male with a history of metastatic small cell lung carcinoma on chemotherapy presents to his oncologist for a follow-up visit. He has responded well to etoposide and cisplatin with plans to undergo radiation therapy. However, he reports that he recently developed multiple spots all over his body. He denies any overt bleeding from his gums or joint swelling. His past medical history is notable for iron deficiency anemia, osteoarthritis, and paraneoplastic Lambert-Eaton syndrome. He has a 40 pack-year smoking history. His temperature is 98.5F (36.9C), blood pressure is 130/70 mmHg, pulse is 115/min, and respirations are 20/min. On examination, a rash is noted diffusely across the patients trunk and bilateral upper and lower extremities.

Results from a complete blood count are shown below:
Hemoglobin: 11.9 mg/dl
Hematocrit: 35%
Leukocyte count: 5,000/mm^3
Platelet count: 20,000/mm^3

The oncologist would like to continue chemotherapy but is concerned that the above results will limit the optimal dose and frequency of the regimen. A recombinant version of which of the following is most appropriate in this patient?",Interleukin 2,Interleukin 8,Interleukin 11,Erythropoietin,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.92,
  ""rationale"": ""Thrombocytopenia (platelets 20,000) with petechial rash is the dose-limiting issue. Recombinant IL-11 (oprelvekin) stimulates megakaryocyte production and treats chemotherapy-induced thrombocytopenia.""
}",C,,0.92,"Thrombocytopenia (platelets 20,000) with petechial rash is the dose-limiting issue. Recombinant IL-11 (oprelvekin) stimulates megakaryocyte production and treats chemotherapy-induced thrombocytopenia."
12,12,"A 65-year-old female patient comes to the physician’s office for her annual check-up. The patient’s only complaint is that she feels her vision has been getting more blurry over the past year. The patient has a past medical history of diabetes diagnosed 20 years ago and osteoarthritis. Her medications include metformin, glimepiride, and ibuprofen as needed for pain. Fundoscopic examination of this patient reveals narrowing of retinal arteries and microaneurysms. This patient’s symptoms are likely caused by tissue specific differences in expression of which of the following enzymes?",Sorbitol dehydrogenase,Galactocerebrosidase,Arylsulfatase A,Sphingomyelinase,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.95,
  ""rationale"": ""Diabetic retinopathy involves the polyol pathway: aldose reductase converts glucose to sorbitol, but tissues like the retina, lens, kidney, and nerves have low sorbitol dehydrogenase, causing sorbitol accumulation and osmotic damage.""
}",A,null,0.95,"Diabetic retinopathy involves the polyol pathway: aldose reductase converts glucose to sorbitol, but tissues like the retina, lens, kidney, and nerves have low sorbitol dehydrogenase, causing sorbitol accumulation and osmotic damage."
13,13,"A 27-year-old man presents to the emergency department. He was brought in by staff from the homeless shelter when they found him unresponsive. The patient is a known IV drug abuser but otherwise has an unknown past medical history. He currently attends a methadone clinic. His temperature is 99.5F (37.5C), blood pressure is 97/48 mmHg, pulse is 140/min, respirations are 29/min, and oxygen saturation is 98% on room air. Initial laboratory values are shown below.

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 6.3 mEq/L
HCO3-: 17 mEq/L
Glucose: 589 mg/dL

The patient is given treatment. After treatment, his temperature is 99.5F (37.5C), blood pressure is 117/78 mmHg, pulse is 100/min, respirations are 23/min, and oxygen saturation is 98% on room air. His laboratory values are seen below.

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 4.3 mEq/L
HCO3-: 19 mEq/L
Glucose: 90 mg/dL

Which of the following is the best next step in management?","Insulin, IV fluids, and potassium",IV fluids only,Oral rehydration,Supportive therapy and close monitoring,"{
  ""choice"": ""A"",
  ""abstain_code"": null,
  ""confidence"": 0.85,
  ""rationale"": ""DKA is not resolved until anion gap closes and bicarbonate normalizes. Anion gap is still 20 (139-100-19) and HCO3 is 19, so insulin drip must continue with dextrose-containing fluids and potassium repletion to prevent hypokalemia and rebound ketoacidosis.""
}",A,,0.85,"DKA is not resolved until anion gap closes and bicarbonate normalizes. Anion gap is still 20 (139-100-19) and HCO3 is 19, so insulin drip must continue with dextrose-containing fluids and potassium repletion to prevent hypokalemia and rebound ketoacidosis."
14,14,"A 49-year-old man comes to the physician because he has had multiple falls and multiple episodes of dizziness over the past 6 weeks. There is no personal or family history of serious illness. He drinks one pint of rum daily. He works as a foreman in a factory that produces industrial solvents. He is alert and oriented to time, place, and person. His temperature is 36.7°C (98.1°F), pulse is 88/min, and blood pressure is 108/70 mm Hg. Examination shows a wide-based gait. The patient is unable to stand with his feet together without support. There is a coarse tremor of the hands when he is asked to grab a pen. Muscle strength and tone are normal in all extremities. Sensation to pain, vibration, and position is intact bilaterally. Rapid alternating movements of the hands is impaired. Mental status examination shows no abnormalities. Which of the following is the most likely cause of this patient's condition?",Korsakoff syndrome,Methanol poisoning,Cerebellar degeneration,Wernicke's encephalopathy,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Chronic alcohol use with wide-based gait, truncal ataxia (positive Romberg-like inability to stand feet together), intention tremor, and dysdiadochokinesia without mental status changes or ophthalmoplegia points to alcoholic cerebellar degeneration.""
}",C,null,0.9,"Chronic alcohol use with wide-based gait, truncal ataxia (positive Romberg-like inability to stand feet together), intention tremor, and dysdiadochokinesia without mental status changes or ophthalmoplegia points to alcoholic cerebellar degeneration."
15,15,A 62-year-old man with a history of chronic bronchitis comes to the physician because of a 1-month history of worsening shortness of breath and cough productive of thick sputum. He smoked one pack of cigarettes daily for 20 years but quit 5 years ago. Physical examination shows an increased anteroposterior chest diameter and coarse crackles in the lower lung fields bilaterally. Treatment with a drug that directly antagonizes the effects of vagal stimulation on the airways is begun. Which of the following drugs was most likely started?,Montelukast,Albuterol,Tiotropium,Cromolyn,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.98,
  ""rationale"": ""Tiotropium is a long-acting muscarinic antagonist that directly blocks vagal (parasympathetic) stimulation of airway smooth muscle, causing bronchodilation in COPD.""
}",C,,0.98,"Tiotropium is a long-acting muscarinic antagonist that directly blocks vagal (parasympathetic) stimulation of airway smooth muscle, causing bronchodilation in COPD."
16,16,"A 72-year-old man comes to the physician because of a 2-month history of fatigue and worsening abdominal pain. During this period, he also has excessive night sweats and shortness of breath on exertion. Over the past 3 months, he has had a 5.6-kg (12-lb) weight loss. He had a myocardial infarction 3 years ago. He has hypertension, diabetes mellitus, and chronic bronchitis. His medications include insulin, aspirin, lisinopril, and an albuterol inhaler. He has smoked half a pack of cigarettes for the past 45 years. Vital signs are within normal limits. The spleen is palpated 6 cm below the left costal margin. Laboratory studies show:
Hemoglobin 6.4 g/dL
Mean corpuscular volume 85 m3
Leukocyte count 5,200/mm3
Platelet count 96,000/mm3
A blood smear is shown. Bone marrow aspiration shows extensive fibrosis and a few scattered plasma cells. A JAK 2 assay is positive. Which of the following is the most appropriate next step in management?""",Cladribine,Prednisone,Imatinib,Stem cell transplantation,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""This is primary myelofibrosis (JAK2+, marrow fibrosis, massive splenomegaly, anemia, thrombocytopenia, constitutional symptoms). Allogeneic stem cell transplantation is the only curative therapy. Although ruxolitinib would be typical symptom-directed therapy, among the options listed, stem cell transplantation is the best answer (cladribine is for hairy cell leukemia, imatinib for CML, prednisone not primary treatment).""
}",D,,0.6,"This is primary myelofibrosis (JAK2+, marrow fibrosis, massive splenomegaly, anemia, thrombocytopenia, constitutional symptoms). Allogeneic stem cell transplantation is the only curative therapy. Although ruxolitinib would be typical symptom-directed therapy, among the options listed, stem cell transplantation is the best answer (cladribine is for hairy cell leukemia, imatinib for CML, prednisone not primary treatment)."
17,17,"A 36-year-old man is brought to the emergency department because of multiple episodes of nonbilious emesis for 3 days. The vomitus consists of undigested food and he has also had dark brown emesis twice today. He has been having early satiety during this period. He has had progressive severe episodic epigastric pain and dyspepsia for the past week. The pain is partially relieved with food or over-the-counter antacids, but worsens at night and several hours after eating. He has also had a weight gain of 2 kg (4.4 lbs) during this period. His father underwent surgery for colon cancer 3 years ago. He has smoked one pack of cigarettes daily for the last 15 years. He drinks two to three beers daily. His temperature is 37.1C (98.8F), pulse is 106/min and blood pressure is 108/68 mm Hg. Examination shows dry mucous membranes. The abdomen is mildly tender to palpation in the left upper quadrant; there is a tympanitic mass in the epigastrium. A succussion splash is heard with a stethoscope when the patient is rocked back and forth at the hips. Bowel sounds are reduced. Rectal examination is unremarkable. Test of the stool for occult blood is positive. The remainder of the examination shows no abnormalities. Serum studies show:
Na+ 135 mEq/L
K+ 3.3 mEq/L
Cl- 97 mEq/L
Urea nitrogen 46 mg/dL
Glucose 77 mg/dL
Creatinine 1.4 mg/dL
Which of the following is the underlying cause of this patient's vomiting?""",Inflammation and edema,Abnormal gastric rotation,Neoplastic growth,Scarring and fibrosis,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.82,
  ""rationale"": ""Chronic PUD symptoms (pain relieved by food/antacids, worse at night) with gastric outlet obstruction (succussion splash, vomiting undigested food, early satiety) in a long-standing smoker suggests chronic duodenal ulcer causing scarring/fibrosis and pyloric stenosis, rather than acute inflammation/edema or malignancy.""
}",D,,0.82,"Chronic PUD symptoms (pain relieved by food/antacids, worse at night) with gastric outlet obstruction (succussion splash, vomiting undigested food, early satiety) in a long-standing smoker suggests chronic duodenal ulcer causing scarring/fibrosis and pyloric stenosis, rather than acute inflammation/edema or malignancy."
18,18,"A 40-year-old man comes to the physician because of shortness of breath, double vision, and fatigue for the past 4 weeks. He has no history of serious medical illness and takes no medications. Physical examination shows drooping of the eyelids bilaterally. He is unable to hold his arms up for longer than 3 minutes. A CT scan of the chest shows an anterior mediastinal mass with smooth contours. A photomicrograph of a specimen from the mass is shown. Which of the following immunologic processes normally occurs in the region indicated by the arrow?",B-cell maturation,V(D)J recombination,Thymocyte formation,Negative selection,"{
  ""choice"": ""D"",
  ""abstain_code"": null,
  ""confidence"": 0.7,
  ""rationale"": ""The clinical picture (myasthenia gravis with thymoma) points to thymic tissue. In the thymic medulla (likely indicated by the arrow, often showing Hassall's corpuscles), negative selection of T cells occurs, whereas positive selection and thymocyte formation occur in the cortex.""
}",D,,0.7,"The clinical picture (myasthenia gravis with thymoma) points to thymic tissue. In the thymic medulla (likely indicated by the arrow, often showing Hassall's corpuscles), negative selection of T cells occurs, whereas positive selection and thymocyte formation occur in the cortex."
19,19,"A 16-year-old female patient with a history of mental retardation presents to your clinic with her mother. The mother states that she wants her daughter to have a bilateral tubal ligation after she recently discovered her looking at pornographic materials. She states that her daughter is not capable of understanding the repercussions of sexual intercourse, and that she does not want her to be burdened with a child that she would not be able to raise. Upon discussions with the patient, it is clear that she is not able to understand that sexual intercourse can lead to pregnancy. What should your next step be?",Schedule the patient for the requested surgery,"Wait until the patient is 18 years old, and then schedule for surgery",Refuse the procedure because it violates the ethical principle of autonomy,Refer the patient to a psychiatrist to get informed consent,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""Sterilization of a minor with intellectual disability based solely on parental request raises serious ethical/legal concerns. Of the options given, refusing on the grounds of protecting the patient's autonomy and reproductive rights is most appropriate; such irreversible procedures typically require court authorization, not simply parental or psychiatric consent.""
}",C,,0.6,"Sterilization of a minor with intellectual disability based solely on parental request raises serious ethical/legal concerns. Of the options given, refusing on the grounds of protecting the patient's autonomy and reproductive rights is most appropriate; such irreversible procedures typically require court authorization, not simply parental or psychiatric consent."
20,20,"A 41-year-old man presents to his primary care provider with abdominal pain. He says that the pain comes and goes throughout the day and usually lasts 20-30 minutes per episode. He can point to the spot 1-2 inches above the umbilicus where he feels the pain. He denies any feeling of regurgitation or nighttime cough but endorses nausea. He reports that he used to eat three large meals per day but has found that eating more frequently improves his pain. He tried a couple pills of ibuprofen with food over the past couple days and thinks it helped. He has gained four pounds since his past appointment three months ago. The patient denies any diarrhea or change in his stools. He has no past medical history. He drinks 5-6 beers on the weekend and has a 20 pack-year smoking history. He denies any family history of cancer. On physical exam, he is tender to palpation above the umbilicus. Bowel sounds are present. A stool guaiac test is positive. The patient undergoes endoscopy with biopsy to diagnose his condition.

Which of the following is most likely to be found on histology?",Mucosal defect in the stomach,PAS-positive material in the small intestine,Noncaseating granulomas in the small intestine,Crypt abscesses in the large intestine,"{
  ""choice"": ""A"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""Pain improving with food, weight gain, epigastric tenderness, NSAID use, smoking, and positive guaiac suggest duodenal ulcer. However, the options list 'mucosal defect in the stomach' (gastric ulcer) rather than duodenum; among the choices, this is the best fit for peptic ulcer disease.""
}",A,,0.6,"Pain improving with food, weight gain, epigastric tenderness, NSAID use, smoking, and positive guaiac suggest duodenal ulcer. However, the options list 'mucosal defect in the stomach' (gastric ulcer) rather than duodenum; among the choices, this is the best fit for peptic ulcer disease."
21,21,"A 54-year-old woman with a past medical history of mental retardation, hypertension, and diabetes presents to the emergency department with a change in her behavior. Her caretakers state that the patients gait suddenly became ataxic, and she became less responsive than her normal non-verbal baseline. Her temperature is 98.5F (36.9C), blood pressure is 125/68 mmHg, pulse is 90/min, respirations are 15/min, and oxygen saturation is 99% on room air. Physical exam is notable for an unremarkable HEENT exam with normal facial features and no signs of airway compromise. Neurological exam is remarkable for new onset spasticity. The patient has 3+ reflexes and a positive Babinski sign. Musculoskeletal exam is only notable for symmetric swelling and deformities of the patients hands bilaterally. Additionally, there is a ""clunk"" when posterior force is applied to the head while anterior force is applied to the cervical spine. Which of the following is the most likely risk factor that predisposed this patient to this condition?",Cerebral palsy,Diabetes mellitus,Down syndrome,Hypertension,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.95,
  ""rationale"": ""Atlantoaxial instability (positive clunk test with posterior/anterior cervical force) causing cervical myelopathy is classically associated with Down syndrome, which also fits her intellectual disability and hand deformities.""
}",C,,0.95,"Atlantoaxial instability (positive clunk test with posterior/anterior cervical force) causing cervical myelopathy is classically associated with Down syndrome, which also fits her intellectual disability and hand deformities."
22,22,A group of researchers wants to evaluate how often the human immunodeficiency virus (HIV) is related to high-risk behaviors in female sex workers from their country. An additional aim is to evaluate the association between HIV acquisition and certain sociodemographic factors. The researchers collect data through interviewer-administered questionnaires (for behavioral and sociodemographic data) as well as through clinical and serological evaluation/screening methods for HIV and other sexually transmitted infections. Which of the following could be the main outcome measure of their study?,Incidence,Prevalence,Hazard rate,Relative risk,"{
  ""choice"": ""B"",
  ""abstain_code"": null,
  ""confidence"": 0.85,
  ""rationale"": ""The study design is cross-sectional, using one-time questionnaires and serological screening to assess HIV status. This design measures prevalence (existing cases), not incidence or hazard rate, which require longitudinal follow-up.""
}",B,,0.85,"The study design is cross-sectional, using one-time questionnaires and serological screening to assess HIV status. This design measures prevalence (existing cases), not incidence or hazard rate, which require longitudinal follow-up."
23,23,"A 17-year-old woman presents to your office concerned that she has not had her menstrual period in 4 months. She states that menses began at age of 13 and has been regular until two months ago. She denies sexual activity, and urine pregnancy test is negative. On exam, she appears well-nourished with a BMI of 21 kg/m^2, but you note that she has enlarged cheeks bilaterally and has calluses on the dorsum of her hands. She says that she has been very stressed with school and has recently been binge eating. What other finding do you expect to see in this patient?",Malar rash,Increased blood glucose level,Enlarged thyroid,Elevated estrogen levels,"{
  ""choice"": ""C"",
  ""abstain_code"": null,
  ""confidence"": 0.6,
  ""rationale"": ""Findings (parotid/cheek enlargement, Russell's sign calluses, binge eating, amenorrhea) suggest bulimia nervosa with self-induced vomiting. Recurrent vomiting causes metabolic alkalosis and can be associated with thyroid enlargement; the other options don't fit. Hypokalemia would be more classic, but among the choices, enlarged thyroid is the best fit.""
}",C,,0.6,"Findings (parotid/cheek enlargement, Russell's sign calluses, binge eating, amenorrhea) suggest bulimia nervosa with self-induced vomiting. Recurrent vomiting causes metabolic alkalosis and can be associated with thyroid enlargement; the other options don't fit. Hypokalemia would be more classic, but among the choices, enlarged thyroid is the best fit."
