row_index,question_id,stem,option_A,option_B,option_C,option_D,llama_raw,llama_choice,llama_abstain_code,llama_confidence,llama_rationale
11,6263a5adb39b83da19092c21e63885cd03f5003aebb1ace6bd465d4440186fae,"A 35-year-old lady presented with a breast lump, 2 cm X 2 cm, next to the nipple. There were three mobile axillary nodes. There was no skin involvement and not fixed to the pectoral muscle. Trucut biopsy of the lump showed duct carcinoma. Sentinel node biopsy was negative. There was no evidence of distant metastases. Given this information ONLY, the best option of her management is:","Do modified radical mastectomy, chemotherapy and radiotherapy","Do simple mastectomy, axillary lymph node dissection, chemotherapy and radiotherapy","Do simple mastectomy, chemotherapy, and radiotherapy.","Do modified radical mastectomy, chemotherapy, radiotherapy, tamoxifen, and Herceptin","{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient has ductal carcinoma with a negative sentinel node biopsy, indicating no axillary lymph node involvement. Given the tumor's location next to the nipple and its size relative to the breast, a simple mastectomy is a reasonable surgical approach. Since there's no axillary involvement as per sentinel node biopsy, axillary lymph node dissection may not be necessary. The patient may require adjuvant chemotherapy and radiotherapy based on the tumor's characteristics and stage.""
}",C,,0.9,"The patient has ductal carcinoma with a negative sentinel node biopsy, indicating no axillary lymph node involvement. Given the tumor's location next to the nipple and its size relative to the breast, a simple mastectomy is a reasonable surgical approach. Since there's no axillary involvement as per sentinel node biopsy, axillary lymph node dissection may not be necessary. The patient may require adjuvant chemotherapy and radiotherapy based on the tumor's characteristics and stage."
12,623fbab888a119358819c7e5113d64fc8541b9c8bcb1008947ab7cb97e89fee5,"A 68-year-old man is admitted to hospital with pneumonia and hyponatraemia with a sodium of 116 mmol/l. He was treated with antibiotics and rapid infusions of 3% hypertonic soline. Despite initial improvement, he started having seizures and went into a coma the next day. What is the possible cause of his deterioration?",Central pontine myelinosis,Acute stroke,Syndrome of inappropriate antidiuretic hormone secretion,Meningitis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's rapid deterioration with seizures and coma after treatment with hypertonic saline for hyponatraemia suggests central pontine myelinolysis (osmotic demyelination syndrome), a condition associated with rapid correction of sodium levels.""
}",A,,0.8,"The patient's rapid deterioration with seizures and coma after treatment with hypertonic saline for hyponatraemia suggests central pontine myelinolysis (osmotic demyelination syndrome), a condition associated with rapid correction of sodium levels."
13,bca0f3ab7477c7fdc04f7ade627ab236c06db5b139750c7411cb93f4aaa749ee,A 24 year old man who has suffered from recurrent shoulder dislocation is found to have an early diastolic murmur best heard at left third intercostal space. He is tall and thin with a long arm span. What is the likely cause of the murmur?,Aortic stenosis,Pulmonary stenosis,Mitral stenosis,Tricuspid regurgitation,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.0,
  ""rationale"": ""The description suggests Marfan syndrome, which is associated with aortic regurgitation, characterized by an early diastolic murmur. None of the given options match this diagnosis.""
}",,NO_VALID_OPTION,0.0,"The description suggests Marfan syndrome, which is associated with aortic regurgitation, characterized by an early diastolic murmur. None of the given options match this diagnosis."
14,7cfc58c7adeeca17732e6dbb3b423dbf0a581a5008d3efda214cc6b8168d0c76,"A 28-year-old male was injured in a motorcycle accident in which he was not wearing a helmet. On admission to the emergency room he was in severe respiratory distress and hypotensive (blood pressure 80/40 mm. Hg), and appeared cyanotic. He was bleeding profusely from the nose and had an obviously open femur fracture with exposed bone. Breath sounds were decreased on the right side of the chest. The initial management priority should be:",Control of hemorrhage with anterior and posterior nasal packing.,Tube thoracostomy in the right hemithorax,Endotracheal intubation with in-line cervical traction.,Obtain intravenous access and begin emergency type O blood transfusions.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's severe respiratory distress and cyanosis indicate a need for immediate airway management, making endotracheal intubation the initial priority, especially considering the potential for cervical spine injury, hence the need for in-line cervical traction.""
}",C,,0.9,"The patient's severe respiratory distress and cyanosis indicate a need for immediate airway management, making endotracheal intubation the initial priority, especially considering the potential for cervical spine injury, hence the need for in-line cervical traction."
15,bc86888c0d7272af42a447835e2152de73ef672bde37bd33aaba65f18ee9fe1f,"A 50-year-old drug abuser presents with fever and weight loss. Exam shows hypertension, nodular skin rash, and peripheral neuropathy. ESR is 100 mm/L , and RBC casts are seen on urinalysis. What is the likely diagnosis?",Polymyalgia rheumatica,Reiter’s syndrome,Ankylosing spondylitis,Drug-induced lupus erythematosus,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.0,
  ""rationale"": ""The clinical presentation suggests a systemic vasculitis, likely Polyarteritis Nodosa (PAN), given the presence of hypertension, nodular skin rash, peripheral neuropathy, and RBC casts in urinalysis, none of which are listed among the options.""
}",,NO_VALID_OPTION,0.0,"The clinical presentation suggests a systemic vasculitis, likely Polyarteritis Nodosa (PAN), given the presence of hypertension, nodular skin rash, peripheral neuropathy, and RBC casts in urinalysis, none of which are listed among the options."
16,a08c41234ec67f3778fbc05d789adffc5a16b36b5a2c10fd68071c2f66627009,A 2-year old child presents with two-day history of passage of blood-streaked loose stool. There was no associated vomiting but there was history of excessive crying prior to bowel opening. The most likely aetiology is:,Enterohaemorrhagic Escherichia coli.,Entamoeba coli,Shigella flexneri,Shigella dysenteriae,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The child's symptoms of blood-streaked loose stool and excessive crying prior to bowel opening are suggestive of dysentery, which is commonly caused by Shigella species. Shigella flexneri is a common cause of shigellosis in children, making option C a likely diagnosis.""
}",C,,0.8,"The child's symptoms of blood-streaked loose stool and excessive crying prior to bowel opening are suggestive of dysentery, which is commonly caused by Shigella species. Shigella flexneri is a common cause of shigellosis in children, making option C a likely diagnosis."
17,679aca552d8a44e0afd303a2bfb8145f7a442018bc3f195c6ebf6ab6720cb314,A previously healthy 8-week old infant presents with four-week history of vomiting soon after each episode of breastfeeding. Abdominal examination reveals a non-tender epigastric mass. Which of the following dyselectrolytaemia is typical?,Hyperglycaemia,Hypoglycaemia,Hypokalaemia,Hypernatraemia,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The clinical presentation is suggestive of pyloric stenosis, characterized by projectile vomiting, which typically leads to hypochloremic alkalosis and associated hypokalaemia due to loss of potassium in the vomit.""
}",C,,0.9,"The clinical presentation is suggestive of pyloric stenosis, characterized by projectile vomiting, which typically leads to hypochloremic alkalosis and associated hypokalaemia due to loss of potassium in the vomit."
18,d183959faf38afcfcb291cbf683cf66e160ab9539bc9e4e0ddfa23f272a10492,"A 29-year-old woman presents to her GP with small lumps on her vulva. 
Examination reveals warty lesions. Subsequently she is referred to the vulval clinic. The biopsy of the lesions reveals benign genital warts. The following drugs can be used in the treatment of her condition except which one of the following?",Trichloracetic acid,Podophyllin,Podophyllotoxin,Dactinomycin,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The treatment options for genital warts include trichloracetic acid, podophyllin, and podophyllotoxin, which are all recognized treatments. Dactinomycin is not a standard treatment for genital warts; it's an antineoplastic antibiotic used in chemotherapy.""
}",D,,0.9,"The treatment options for genital warts include trichloracetic acid, podophyllin, and podophyllotoxin, which are all recognized treatments. Dactinomycin is not a standard treatment for genital warts; it's an antineoplastic antibiotic used in chemotherapy."
19,d2fcdf819ff30c5ea685a1bf6a1b9b4b1fe1455f20bb2147f387cc8c98daf92b,A 26-year-old woman presents for follow-up of her multiple sclerosis. She has had two separate episodes of optic neuritis and has noticed stutteringly progressive weakness in her lower extremities. She has a mild neurogenic bladder. MRI scanning reveals several plaques in the periventricular white matter and several other plaques in the brainstem. Which of the following best summarizes the role of interferon β for this disease?,It improves patients’ symptoms and has no significant side effects,It can cure one-third of patients,It reduces relapse rate by 50%,It improves survival,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Interferon β is a disease-modifying therapy used in multiple sclerosis that has been shown to reduce the frequency of relapses, with studies indicating a reduction in relapse rate by approximately 30-50%.""
}",C,,0.9,"Interferon β is a disease-modifying therapy used in multiple sclerosis that has been shown to reduce the frequency of relapses, with studies indicating a reduction in relapse rate by approximately 30-50%."
20,4f5d98c72477b02a43fad895ba14baa5152fced1589da4a2c3c2f8453ce301bc,A 45-year-old woman presents to the clinic on account of easy fatigue and generalized pruritus for the past 5 months. She has a number of spider naevi over her chest and hepatomegaly 2 cm below subcostal margin. Liver function tests done were abnormal. Anti-mitochondrial antibody test is positive. What is the most likely diagnosis?,Alpha-1 antitrypsin deficiency,Wilson’s disease,Primary sclerosing cholangitis,Autoimmune hepatitis,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The presence of anti-mitochondrial antibodies is typically associated with Primary Biliary Cholangitis (PBC), but the given options do not include PBC. However, among the options, Autoimmune hepatitis is the most likely diagnosis given the clinical presentation and the presence of autoimmune markers, although anti-mitochondrial antibodies are more specific to PBC.""
}",D,,0.8,"The presence of anti-mitochondrial antibodies is typically associated with Primary Biliary Cholangitis (PBC), but the given options do not include PBC. However, among the options, Autoimmune hepatitis is the most likely diagnosis given the clinical presentation and the presence of autoimmune markers, although anti-mitochondrial antibodies are more specific to PBC."
21,11b9d730349397642247b17fbc68510c89752e0cf1aef01f66f62e0ef3f5584e,A patient with psychotic disorder is convinced that she has caused a recent earthquake because she was bored and wishing for something exciting to occur. Which of the following symptoms MOST CLOSELY describes this symptom?,Echolalia,Obsession,Thought broadcasting,Nihilism,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's belief that her thoughts caused a real-world event (earthquake) reflects a delusional guilt or grandiose delusion, which is closely related to nihilism or more broadly, a delusional disorder. The closest match among the given options is nihilism, as it involves a distorted belief about reality, although the specific example given leans more towards a grandiose or guilt delusion.""
}",D,,0.8,"The patient's belief that her thoughts caused a real-world event (earthquake) reflects a delusional guilt or grandiose delusion, which is closely related to nihilism or more broadly, a delusional disorder. The closest match among the given options is nihilism, as it involves a distorted belief about reality, although the specific example given leans more towards a grandiose or guilt delusion."
22,b2dce8406017590d925e3db8a7c60ceaf4a8acaa13ddfe24a48c48d9ca887d8e,A 20-year old male presents in your emergency room with multiple facial lacerations after a motorvehicle collision. There is one particularly deep laceration through the tragus and 4 cm into the parotid gland. You remember to check the facial nerve function and find no motion around the eye or over the forehead. The nasal ala flares on deep breathing and the corner of the mouth appears normal on smiling. What area of the facial nerve is most likely injured?,Main trunk,Inferior division,Superior division,Temporal branch,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The patient's inability to move the eye or forehead suggests impairment of the superior division of the facial nerve, which controls the muscles of the upper face, including the orbicularis oculi and frontalis.""
}",C,,0.9,"The patient's inability to move the eye or forehead suggests impairment of the superior division of the facial nerve, which controls the muscles of the upper face, including the orbicularis oculi and frontalis."
23,1fd10b9d8fc2562c7b172b3063466dc13ee6431af1c20056a37a076b22fe389b,"A 3-year-old male weighing 16 kg (35.3 pounds) presents with second and third-degree burns of his anterior trunk, upper back, and right arm, after pulling a large pot of boiling water off the stove onto himself. This is a 23% total body surface area burn. Fluid resuscitation is started based on the Parkland formula. When reassessing this patient 3 hours after starting fluid resuscitation, what would be an appropriate urine output?",0.25 mL/kg/hour,2.0 mL/kg/hour,1.0 ml/kg/hour,3.5 ml/kg/hour,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""For pediatric burn patients, the goal urine output is 1.0 mL/kg/hour, indicating adequate fluid resuscitation. The Parkland formula guides initial fluid management, and urine output is a key indicator of its adequacy.""
}",C,,0.9,"For pediatric burn patients, the goal urine output is 1.0 mL/kg/hour, indicating adequate fluid resuscitation. The Parkland formula guides initial fluid management, and urine output is a key indicator of its adequacy."
24,89dc65251515e6a66ac71036fce32a8ba2e298e2710b7928990697e7125a9a95,A 32-year-old woman is seen at the Endocrine Clinic on account of recurring headaches and episodes of diaphoresis. She was diagnosed of hypertension 6 months which have worsened over the last few months despite starting lisinopril 10 mg daily. Blood pressure checked is 160/94 mmHg. It is also noticed that she had a large tongue and prominent lower jaw. Her body mass index is 24 kg/m2. What is the likely cause of the hypertension?,Cushing disease,Primary hypertension,Acromegaly,Phaechromocytoma,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""The patient's symptoms such as large tongue and prominent lower jaw, along with worsening hypertension, are suggestive of acromegaly, a condition caused by excess growth hormone, often due to a pituitary adenoma. The symptoms of headaches and diaphoresis can also be associated with acromegaly. The clinical features make option C, Acromegaly, the most likely cause of her hypertension.""
}",C,,0.8,"The patient's symptoms such as large tongue and prominent lower jaw, along with worsening hypertension, are suggestive of acromegaly, a condition caused by excess growth hormone, often due to a pituitary adenoma. The symptoms of headaches and diaphoresis can also be associated with acromegaly. The clinical features make option C, Acromegaly, the most likely cause of her hypertension."
25,e8b57e5faf23bb2c13c0092ce69e3f60f4015c76f49668e0b7664c68b7af093b,"A 1-year-old child presents with crying continuously and drawing his legs up. The mother reports associated episodes of passing bloody mucus per rectum. A long, thin mass is palpable in the right upper quadrant of the abdomen. No peritoneal signs are present. Intussusception is suspected. Which of the following is the most appropriate next step?",Administration of IV fluids and observation,Diagnostic laparoscopy with laparoscopic reduction,Exploratory laparotomy with bowel resection,Decompressive colonoscopy with placement of a rectal tube,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""The suspected diagnosis is intussusception, a condition where a part of the intestine telescopes into another part, often causing bowel obstruction and potentially leading to ischemia. The initial management involves stabilizing the patient with IV fluids and then attempting reduction with an air enema, which is not listed but is the standard next step after stabilization. Exploratory laparotomy is considered if reduction is unsuccessful or if there are signs of peritonitis or perforation.""
}",A,,0.9,"The suspected diagnosis is intussusception, a condition where a part of the intestine telescopes into another part, often causing bowel obstruction and potentially leading to ischemia. The initial management involves stabilizing the patient with IV fluids and then attempting reduction with an air enema, which is not listed but is the standard next step after stabilization. Exploratory laparotomy is considered if reduction is unsuccessful or if there are signs of peritonitis or perforation."
26,dada4d61b14696cd165474a39fdec770b6dd8da0e1f32d1d48ccf53a010878bf,A 38-year-old male presents with hypertension and worsening renal function. An ultrasound done showed multiple cysts in both kidneys as well as cysts in the liver. A diagnosis of polycystic kidney disease is made. Which of the following is the most important association with the diagnosis?,Infertility,Colon cancer,Type 1 diabetes,Cerebral aneurysms,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Polycystic kidney disease (PKD) is associated with various extrarenal manifestations, including cerebral aneurysms, which are a significant concern due to the risk of rupture and subarachnoid hemorrhage. The presence of multiple cysts in both kidneys and liver is consistent with autosomal dominant PKD (ADPKD), which is known to be associated with cerebral aneurysms.""
}",D,,0.9,"Polycystic kidney disease (PKD) is associated with various extrarenal manifestations, including cerebral aneurysms, which are a significant concern due to the risk of rupture and subarachnoid hemorrhage. The presence of multiple cysts in both kidneys and liver is consistent with autosomal dominant PKD (ADPKD), which is known to be associated with cerebral aneurysms."
27,5558fe2bfe788a2020236bd74e4b142d43ff7ef45f4d25e6d17d400ff8001dc4,"A 64-year-old, otherwise healthy male is found on physical exam to have a carotid bruit. An ultrasound shows luminal stenosis in the left 
internal carotid artery (ICA) of approximately 90%. He is asymptomatic. Which of the following is true of treatment for his condition? 
A. He","He should probably be treated with endovascular placement of a carotid stent and best medicalmanagement (daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","He should probably be treated with best medical management  (daily antiplatelet therapy,SBP<130 mmHg, blood glucose  well controlled, and LDL cholesterol<100).",He should probably be reassured that treatment is unnecessary at this time.,"He should probably be treated with surgical endarterectomy and best medical management(daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""For an asymptomatic patient with 90% stenosis of the internal carotid artery, current guidelines recommend carotid endarterectomy or angioplasty with stenting in addition to best medical management if the perioperative risk is low, making option D a likely correct choice.""
}",D,,0.8,"For an asymptomatic patient with 90% stenosis of the internal carotid artery, current guidelines recommend carotid endarterectomy or angioplasty with stenting in addition to best medical management if the perioperative risk is low, making option D a likely correct choice."
28,e58a7a0239c2bd3ab587acc17f290963482b03ff96effa15a2b74baddfc57054,The obstetric doctor on call is asked to review a cardiotocograph performed prior to induction of labour in a 39 weeks old multigravida. Which of the following features should help to reassure the doctor that this is a normal trace?,The baseline variability is <5 beats per minute,The baseline heart rate is 100 beats per minute.,The tocograph is picking up regular contractions.,are no significant accelerations of the fetal heart on the 30-minute recording.,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.8,
  ""rationale"": ""A normal cardiotocograph (CTG) includes a tocograph that accurately records uterine contractions, which is reassuring for monitoring fetal well-being during labour induction. Option C is the most reassuring feature among those listed as it indicates the tocograph is functioning correctly.""
}",C,,0.8,"A normal cardiotocograph (CTG) includes a tocograph that accurately records uterine contractions, which is reassuring for monitoring fetal well-being during labour induction. Option C is the most reassuring feature among those listed as it indicates the tocograph is functioning correctly."
