row_index,question_id,stem,option_A,option_B,option_C,option_D,gpt5_raw,gpt5_choice,gpt5_abstain_code,gpt5_confidence,gpt5_rationale
11,6263a5adb39b83da19092c21e63885cd03f5003aebb1ace6bd465d4440186fae,"A 35-year-old lady presented with a breast lump, 2 cm X 2 cm, next to the nipple. There were three mobile axillary nodes. There was no skin involvement and not fixed to the pectoral muscle. Trucut biopsy of the lump showed duct carcinoma. Sentinel node biopsy was negative. There was no evidence of distant metastases. Given this information ONLY, the best option of her management is:","Do modified radical mastectomy, chemotherapy and radiotherapy","Do simple mastectomy, axillary lymph node dissection, chemotherapy and radiotherapy","Do simple mastectomy, chemotherapy, and radiotherapy.","Do modified radical mastectomy, chemotherapy, radiotherapy, tamoxifen, and Herceptin","{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.78,
  ""rationale"": ""With a 2 cm, clinically non-fixed tumor and a negative sentinel node biopsy (node-negative), axillary dissection and postmastectomy radiotherapy are not indicated. Adjuvant systemic therapy (chemotherapy, endocrine therapy, trastuzumab) depends on tumor biology, which is not provided. None of the options reflect appropriate management based on the given information alone.""
}",null,NO_VALID_OPTION,0.78,"With a 2 cm, clinically non-fixed tumor and a negative sentinel node biopsy (node-negative), axillary dissection and postmastectomy radiotherapy are not indicated. Adjuvant systemic therapy (chemotherapy, endocrine therapy, trastuzumab) depends on tumor biology, which is not provided. None of the options reflect appropriate management based on the given information alone."
12,623fbab888a119358819c7e5113d64fc8541b9c8bcb1008947ab7cb97e89fee5,"A 68-year-old man is admitted to hospital with pneumonia and hyponatraemia with a sodium of 116 mmol/l. He was treated with antibiotics and rapid infusions of 3% hypertonic soline. Despite initial improvement, he started having seizures and went into a coma the next day. What is the possible cause of his deterioration?",Central pontine myelinosis,Acute stroke,Syndrome of inappropriate antidiuretic hormone secretion,Meningitis,"{
  ""choice"": ""A"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""Rapid correction of severe hyponatraemia with hypertonic saline can cause osmotic demyelination syndrome (central pontine myelinolysis), which often presents after a transient improvement with acute neurologic decline including seizures and coma. SIADH explains the hyponatraemia but not the deterioration after rapid correction, and stroke or meningitis are less consistent with the timing and context.""
}",A,,0.9,"Rapid correction of severe hyponatraemia with hypertonic saline can cause osmotic demyelination syndrome (central pontine myelinolysis), which often presents after a transient improvement with acute neurologic decline including seizures and coma. SIADH explains the hyponatraemia but not the deterioration after rapid correction, and stroke or meningitis are less consistent with the timing and context."
13,bca0f3ab7477c7fdc04f7ade627ab236c06db5b139750c7411cb93f4aaa749ee,A 24 year old man who has suffered from recurrent shoulder dislocation is found to have an early diastolic murmur best heard at left third intercostal space. He is tall and thin with a long arm span. What is the likely cause of the murmur?,Aortic stenosis,Pulmonary stenosis,Mitral stenosis,Tricuspid regurgitation,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.9,
  ""rationale"": ""An early diastolic murmur at the left 3rd intercostal space is classic for aortic regurgitation, often from aortic root dilation in Marfan syndrome. None of the provided options matches aortic regurgitation.""
}",null,NO_VALID_OPTION,0.9,"An early diastolic murmur at the left 3rd intercostal space is classic for aortic regurgitation, often from aortic root dilation in Marfan syndrome. None of the provided options matches aortic regurgitation."
14,7cfc58c7adeeca17732e6dbb3b423dbf0a581a5008d3efda214cc6b8168d0c76,"A 28-year-old male was injured in a motorcycle accident in which he was not wearing a helmet. On admission to the emergency room he was in severe respiratory distress and hypotensive (blood pressure 80/40 mm. Hg), and appeared cyanotic. He was bleeding profusely from the nose and had an obviously open femur fracture with exposed bone. Breath sounds were decreased on the right side of the chest. The initial management priority should be:",Control of hemorrhage with anterior and posterior nasal packing.,Tube thoracostomy in the right hemithorax,Endotracheal intubation with in-line cervical traction.,Obtain intravenous access and begin emergency type O blood transfusions.,"{
  ""choice"": ""B"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.78,
  ""rationale"": ""He is hypotensive and cyanotic with markedly decreased right-sided breath sounds, suggesting a life-threatening tension pneumothorax causing obstructive shock. Immediate decompression with tube thoracostomy is the most urgent intervention; intubation first could worsen hemodynamics with positive pressure, and controlling nasal bleeding or starting blood are lower immediate priorities.""
}",B,,0.78,"He is hypotensive and cyanotic with markedly decreased right-sided breath sounds, suggesting a life-threatening tension pneumothorax causing obstructive shock. Immediate decompression with tube thoracostomy is the most urgent intervention; intubation first could worsen hemodynamics with positive pressure, and controlling nasal bleeding or starting blood are lower immediate priorities."
15,bc86888c0d7272af42a447835e2152de73ef672bde37bd33aaba65f18ee9fe1f,"A 50-year-old drug abuser presents with fever and weight loss. Exam shows hypertension, nodular skin rash, and peripheral neuropathy. ESR is 100 mm/L , and RBC casts are seen on urinalysis. What is the likely diagnosis?",Polymyalgia rheumatica,Reiter’s syndrome,Ankylosing spondylitis,Drug-induced lupus erythematosus,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.84,
  ""rationale"": ""The presentation suggests a systemic vasculitis (e.g., polyarteritis nodosa or cryoglobulinemic vasculitis) with constitutional symptoms, hypertension, neuropathy, skin lesions, and renal involvement (RBC casts). None of the listed options fit this picture.""
}",null,NO_VALID_OPTION,0.84,"The presentation suggests a systemic vasculitis (e.g., polyarteritis nodosa or cryoglobulinemic vasculitis) with constitutional symptoms, hypertension, neuropathy, skin lesions, and renal involvement (RBC casts). None of the listed options fit this picture."
16,a08c41234ec67f3778fbc05d789adffc5a16b36b5a2c10fd68071c2f66627009,A 2-year old child presents with two-day history of passage of blood-streaked loose stool. There was no associated vomiting but there was history of excessive crying prior to bowel opening. The most likely aetiology is:,Enterohaemorrhagic Escherichia coli.,Entamoeba coli,Shigella flexneri,Shigella dysenteriae,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.73,
  ""rationale"": ""Blood-streaked loose stools with pain/tenesmus (suggested by crying before defecation) are typical of bacillary dysentery. In young children, Shigella flexneri is a common cause. Entamoeba coli is nonpathogenic, and EHEC typically presents differently.""
}",C,,0.73,"Blood-streaked loose stools with pain/tenesmus (suggested by crying before defecation) are typical of bacillary dysentery. In young children, Shigella flexneri is a common cause. Entamoeba coli is nonpathogenic, and EHEC typically presents differently."
17,679aca552d8a44e0afd303a2bfb8145f7a442018bc3f195c6ebf6ab6720cb314,A previously healthy 8-week old infant presents with four-week history of vomiting soon after each episode of breastfeeding. Abdominal examination reveals a non-tender epigastric mass. Which of the following dyselectrolytaemia is typical?,Hyperglycaemia,Hypoglycaemia,Hypokalaemia,Hypernatraemia,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.9,
  ""rationale"": ""This presentation is classic for infantile hypertrophic pyloric stenosis, which causes loss of gastric acid leading to hypochloremic, hypokalemic metabolic alkalosis. Therefore hypokalaemia is typical.""
}",C,,0.9,"This presentation is classic for infantile hypertrophic pyloric stenosis, which causes loss of gastric acid leading to hypochloremic, hypokalemic metabolic alkalosis. Therefore hypokalaemia is typical."
18,d183959faf38afcfcb291cbf683cf66e160ab9539bc9e4e0ddfa23f272a10492,"A 29-year-old woman presents to her GP with small lumps on her vulva. 
Examination reveals warty lesions. Subsequently she is referred to the vulval clinic. The biopsy of the lesions reveals benign genital warts. The following drugs can be used in the treatment of her condition except which one of the following?",Trichloracetic acid,Podophyllin,Podophyllotoxin,Dactinomycin,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.91,
  ""rationale"": ""Trichloroacetic acid, podophyllin, and podophyllotoxin are standard topical therapies for genital warts. Dactinomycin is a chemotherapeutic agent used for certain malignancies (e.g., trophoblastic tumors) and is not used to treat genital warts.""
}",D,,0.91,"Trichloroacetic acid, podophyllin, and podophyllotoxin are standard topical therapies for genital warts. Dactinomycin is a chemotherapeutic agent used for certain malignancies (e.g., trophoblastic tumors) and is not used to treat genital warts."
19,d2fcdf819ff30c5ea685a1bf6a1b9b4b1fe1455f20bb2147f387cc8c98daf92b,A 26-year-old woman presents for follow-up of her multiple sclerosis. She has had two separate episodes of optic neuritis and has noticed stutteringly progressive weakness in her lower extremities. She has a mild neurogenic bladder. MRI scanning reveals several plaques in the periventricular white matter and several other plaques in the brainstem. Which of the following best summarizes the role of interferon β for this disease?,It improves patients’ symptoms and has no significant side effects,It can cure one-third of patients,It reduces relapse rate by 50%,It improves survival,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.8,
  ""rationale"": ""Interferon beta reduces relapse rates by about 30% and has notable side effects; it does not cure MS, does not primarily improve acute symptoms, and survival benefit is not clearly established. None of the options accurately reflect this.""
}",null,NO_VALID_OPTION,0.8,"Interferon beta reduces relapse rates by about 30% and has notable side effects; it does not cure MS, does not primarily improve acute symptoms, and survival benefit is not clearly established. None of the options accurately reflect this."
20,4f5d98c72477b02a43fad895ba14baa5152fced1589da4a2c3c2f8453ce301bc,A 45-year-old woman presents to the clinic on account of easy fatigue and generalized pruritus for the past 5 months. She has a number of spider naevi over her chest and hepatomegaly 2 cm below subcostal margin. Liver function tests done were abnormal. Anti-mitochondrial antibody test is positive. What is the most likely diagnosis?,Alpha-1 antitrypsin deficiency,Wilson’s disease,Primary sclerosing cholangitis,Autoimmune hepatitis,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.76,
  ""rationale"": ""Anti‑mitochondrial antibody positivity with pruritus in a middle‑aged woman strongly suggests primary biliary cholangitis, which is not listed. Primary sclerosing cholangitis is typically p‑ANCA associated, and autoimmune hepatitis is linked to ANA/SMA/LKM antibodies, not AMA. Therefore none of the provided options is appropriate.""
}",null,NO_VALID_OPTION,0.76,"Anti‑mitochondrial antibody positivity with pruritus in a middle‑aged woman strongly suggests primary biliary cholangitis, which is not listed. Primary sclerosing cholangitis is typically p‑ANCA associated, and autoimmune hepatitis is linked to ANA/SMA/LKM antibodies, not AMA. Therefore none of the provided options is appropriate."
21,11b9d730349397642247b17fbc68510c89752e0cf1aef01f66f62e0ef3f5584e,A patient with psychotic disorder is convinced that she has caused a recent earthquake because she was bored and wishing for something exciting to occur. Which of the following symptoms MOST CLOSELY describes this symptom?,Echolalia,Obsession,Thought broadcasting,Nihilism,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.83,
  ""rationale"": ""The belief that her wish caused an earthquake reflects magical thinking/ideas of influence. None of the options listed capture this: echolalia is repetition of others’ words, obsession is intrusive ego-dystonic thought, thought broadcasting is the belief others can hear one’s thoughts, and nihilism involves denial of existence.""
}",null,NO_VALID_OPTION,0.83,"The belief that her wish caused an earthquake reflects magical thinking/ideas of influence. None of the options listed capture this: echolalia is repetition of others’ words, obsession is intrusive ego-dystonic thought, thought broadcasting is the belief others can hear one’s thoughts, and nihilism involves denial of existence."
22,b2dce8406017590d925e3db8a7c60ceaf4a8acaa13ddfe24a48c48d9ca887d8e,A 20-year old male presents in your emergency room with multiple facial lacerations after a motorvehicle collision. There is one particularly deep laceration through the tragus and 4 cm into the parotid gland. You remember to check the facial nerve function and find no motion around the eye or over the forehead. The nasal ala flares on deep breathing and the corner of the mouth appears normal on smiling. What area of the facial nerve is most likely injured?,Main trunk,Inferior division,Superior division,Temporal branch,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""Forehead and eye paralysis with preserved nasal ala flare and smile indicates loss of the upper (temporo-facial) division while the lower (cervico-facial) division remains intact. Main trunk injury would affect all branches, and isolated temporal branch injury wouldn’t fully abolish orbicularis oculi function.""
}",C,,0.86,"Forehead and eye paralysis with preserved nasal ala flare and smile indicates loss of the upper (temporo-facial) division while the lower (cervico-facial) division remains intact. Main trunk injury would affect all branches, and isolated temporal branch injury wouldn’t fully abolish orbicularis oculi function."
23,1fd10b9d8fc2562c7b172b3063466dc13ee6431af1c20056a37a076b22fe389b,"A 3-year-old male weighing 16 kg (35.3 pounds) presents with second and third-degree burns of his anterior trunk, upper back, and right arm, after pulling a large pot of boiling water off the stove onto himself. This is a 23% total body surface area burn. Fluid resuscitation is started based on the Parkland formula. When reassessing this patient 3 hours after starting fluid resuscitation, what would be an appropriate urine output?",0.25 mL/kg/hour,2.0 mL/kg/hour,1.0 ml/kg/hour,3.5 ml/kg/hour,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.86,
  ""rationale"": ""For pediatric burn resuscitation, the target urine output is approximately 1 mL/kg/hour (higher than the adult target of 0.5 mL/kg/hour). Values like 0.25 mL/kg/hour are inadequate, and 2.0–3.5 mL/kg/hour suggest over-resuscitation.""
}",C,,0.86,"For pediatric burn resuscitation, the target urine output is approximately 1 mL/kg/hour (higher than the adult target of 0.5 mL/kg/hour). Values like 0.25 mL/kg/hour are inadequate, and 2.0–3.5 mL/kg/hour suggest over-resuscitation."
24,89dc65251515e6a66ac71036fce32a8ba2e298e2710b7928990697e7125a9a95,A 32-year-old woman is seen at the Endocrine Clinic on account of recurring headaches and episodes of diaphoresis. She was diagnosed of hypertension 6 months which have worsened over the last few months despite starting lisinopril 10 mg daily. Blood pressure checked is 160/94 mmHg. It is also noticed that she had a large tongue and prominent lower jaw. Her body mass index is 24 kg/m2. What is the likely cause of the hypertension?,Cushing disease,Primary hypertension,Acromegaly,Phaechromocytoma,"{
  ""choice"": ""C"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.85,
  ""rationale"": ""Macroglossia and mandibular prognathism are classic for acromegaly, which commonly causes hypertension along with headaches and hyperhidrosis. These features make acromegaly a more likely cause than pheochromocytoma or Cushing disease.""
}",C,,0.85,"Macroglossia and mandibular prognathism are classic for acromegaly, which commonly causes hypertension along with headaches and hyperhidrosis. These features make acromegaly a more likely cause than pheochromocytoma or Cushing disease."
25,e8b57e5faf23bb2c13c0092ce69e3f60f4015c76f49668e0b7664c68b7af093b,"A 1-year-old child presents with crying continuously and drawing his legs up. The mother reports associated episodes of passing bloody mucus per rectum. A long, thin mass is palpable in the right upper quadrant of the abdomen. No peritoneal signs are present. Intussusception is suspected. Which of the following is the most appropriate next step?",Administration of IV fluids and observation,Diagnostic laparoscopy with laparoscopic reduction,Exploratory laparotomy with bowel resection,Decompressive colonoscopy with placement of a rectal tube,"{
  ""choice"": ""null"",
  ""abstain_code"": ""NO_VALID_OPTION"",
  ""confidence"": 0.78,
  ""rationale"": ""In a stable 1-year-old with suspected intussusception and no peritoneal signs, the next step is a pneumatic or contrast enema, which is both diagnostic and therapeutic. Surgery is reserved for perforation, peritonitis, or failed enema reduction; observation alone and colonoscopic decompression are inappropriate.""
}",null,NO_VALID_OPTION,0.78,"In a stable 1-year-old with suspected intussusception and no peritoneal signs, the next step is a pneumatic or contrast enema, which is both diagnostic and therapeutic. Surgery is reserved for perforation, peritonitis, or failed enema reduction; observation alone and colonoscopic decompression are inappropriate."
26,dada4d61b14696cd165474a39fdec770b6dd8da0e1f32d1d48ccf53a010878bf,A 38-year-old male presents with hypertension and worsening renal function. An ultrasound done showed multiple cysts in both kidneys as well as cysts in the liver. A diagnosis of polycystic kidney disease is made. Which of the following is the most important association with the diagnosis?,Infertility,Colon cancer,Type 1 diabetes,Cerebral aneurysms,"{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.93,
  ""rationale"": ""Autosomal dominant polycystic kidney disease is notably associated with intracranial (berry) aneurysms in the circle of Willis, which can lead to subarachnoid hemorrhage. The other options are not characteristic or key associations of ADPKD.""
}",D,,0.93,"Autosomal dominant polycystic kidney disease is notably associated with intracranial (berry) aneurysms in the circle of Willis, which can lead to subarachnoid hemorrhage. The other options are not characteristic or key associations of ADPKD."
27,5558fe2bfe788a2020236bd74e4b142d43ff7ef45f4d25e6d17d400ff8001dc4,"A 64-year-old, otherwise healthy male is found on physical exam to have a carotid bruit. An ultrasound shows luminal stenosis in the left 
internal carotid artery (ICA) of approximately 90%. He is asymptomatic. Which of the following is true of treatment for his condition? 
A. He","He should probably be treated with endovascular placement of a carotid stent and best medicalmanagement (daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","He should probably be treated with best medical management  (daily antiplatelet therapy,SBP<130 mmHg, blood glucose  well controlled, and LDL cholesterol<100).",He should probably be reassured that treatment is unnecessary at this time.,"He should probably be treated with surgical endarterectomy and best medical management(daily antiplatelet therapy, SBP<130  mmHg, blood glucose well controlled, and LDL cholesterol<100).","{
  ""choice"": ""D"",
  ""abstain_code"": ""null"",
  ""confidence"": 0.82,
  ""rationale"": ""For asymptomatic high-grade (≥70–80%) carotid stenosis in a low-surgical-risk patient with reasonable life expectancy, carotid endarterectomy plus optimal medical therapy reduces future stroke risk. Carotid stenting is generally reserved for patients at high surgical risk or with unfavorable anatomy for endarterectomy.""
}",D,,0.82,"For asymptomatic high-grade (≥70–80%) carotid stenosis in a low-surgical-risk patient with reasonable life expectancy, carotid endarterectomy plus optimal medical therapy reduces future stroke risk. Carotid stenting is generally reserved for patients at high surgical risk or with unfavorable anatomy for endarterectomy."
